energy_tev,v6_relative_uncertainty_percent_raw,v6_relative_uncertainty_percent_birge_pdg,pass5_relative_uncertainty_percent,v6_uncertainty_reduction_percent_raw,v6_uncertainty_reduction_percent_birge_pdg
19.34936275,6.016293173,27.53289641,10.13355062,40.62995884,-171.7003886
19.6486779,6.093844228,27.88780019,10.2932526,40.79768112,-170.9328263
19.95262315,6.17196516,28.24531194,10.45420151,40.96186921,-170.1814378
20.26127013,6.250654858,28.60542659,10.61639614,41.12262978,-169.4457349
20.57469156,6.329912248,28.96813922,10.77983534,41.28006552,-168.7252477
20.89296131,6.409736282,29.33344503,10.944518,41.43427529,-168.0195239
21.21615437,6.490125946,29.70133938,11.11044305,41.58535428,-167.3281277
21.5443469,6.571080251,30.07181776,11.27760946,41.73339419,-166.6506395
21.87761624,6.652598239,30.44487576,11.44601625,41.87848335,-165.9866551
22.21604092,6.734678977,30.82050913,11.61566244,42.02070686,-165.335785
22.55970069,6.81732156,31.19871371,11.78654713,42.16014677,-164.6976538
22.90867653,6.900525108,31.57948549,11.95866942,42.29688214,-164.0718996
23.26305067,6.984288764,31.96282055,12.13202845,42.43098923,-163.4581734
23.62290663,7.068611698,32.34871507,12.3066234,42.56254157,-162.8561388
23.98832919,7.1534931,32.73716537,12.48245347,42.69161011,-162.2654709
24.35940447,7.238932184,33.12816783,12.65951788,42.8182633,-161.6858567
24.73621992,7.324928185,33.52171896,12.8378159,42.94256717,-161.1169939
25.11886432,7.411480361,33.91781537,13.01734681,43.06458551,-160.5585905
25.50742784,7.498587987,34.31645373,13.1981099,43.18437987,-160.010365
25.90200205,7.58625036,34.71763083,13.38010452,43.30200971,-159.4720451
26.30267992,7.674466797,35.12134354,13.56333,43.41753246,-158.9433681
26.70955588,7.76323663,35.5275888,13.74778573,43.5310036,-158.42408
27.12272579,7.852559213,35.93636367,13.9334711,43.64247675,-157.9139356
27.54228703,7.942433915,36.34766524,14.12038551,43.75200374,-157.4126975
27.96833846,8.032860123,36.76149072,14.30852841,43.85963468,-156.9201365
28.40098048,8.123837238,37.17783737,14.49789924,43.96541801,-156.4360308
28.84031503,8.215364681,37.59670253,14.68849748,44.06940061,-155.960166
29.28644565,8.307441885,38.01808361,14.8803226,44.1716278,-155.4923346
29.73947745,8.400068299,38.44197809,15.07337411,44.27214346,-155.0323359
30.1995172,8.493243386,38.86838351,15.26765152,44.37099005,-154.5799755
30.66667331,8.586966624,39.29729748,15.46315438,44.46820865,-154.1350654
31.14105584,8.681237504,39.72871768,15.65988221,44.56383908,-153.6974234
31.6227766,8.776055531,40.16264183,15.8578346,44.65791986,-153.2668731
32.11194909,8.871420221,40.59906772,16.0570111,44.75048833,-152.8432438
32.60868859,8.967331103,41.03799321,16.25741131,44.84158065,-152.4263699
33.11311215,9.063787721,41.47941619,16.45903482,44.93123188,-152.0160911
33.62533863,9.160789625,41.92333461,16.66188125,45.01947597,-151.6122518
34.14548874,9.258336382,42.36974649,16.86595022,45.10634586,-151.2147014
34.67368505,9.356427566,42.81864988,17.07124137,45.19187349,-150.8232938
35.21005202,9.455062764,43.27004289,17.27775433,45.2760898,-150.4378872
35.75471605,9.554241573,43.72392368,17.48548877,45.35902485,-150.0583441
36.30780548,9.653963598,44.18029044,17.69444435,45.44070777,-149.6845313
36.86945065,9.754228458,44.63914141,17.90462074,45.52116685,-149.3163193
37.4397839,9.855035777,45.10047489,18.11601763,45.60042953,-148.9535825
38.01893963,9.95638519,45.56428921,18.32863471,45.67852244,-148.5961989
38.60705432,10.05827634,46.03058273,18.54247168,45.75547147,-148.2440503
39.20426655,10.16070889,46.49935387,18.75752826,45.83130174,-147.8970215
