hour,gti_interval_count,gti_duration_seconds,histogram_counts_before,histogram_counts_after,histogram_retained_fraction,log_path
20220105_03,1,3594.80590517633,105276184.0,104662533.0,0.9941710368225353,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.93
20220105_04,1,3596.40498433728,105397795.0,104309154.0,0.9896711216776404,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.94
20220105_05,1,3557.41521455348,104808577.0,103704028.0,0.9894612728116707,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.95
20220105_06,1,3559.25088089425,104835847.0,103680597.0,0.9889803914113462,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.96
20220105_07,1,3566.34813984856,104858274.0,103672131.0,0.9886881315631803,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.97
20220105_08,1,3568.24185003061,104161850.0,103529134.0,0.9939256455218489,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.98
20220105_09,1,3562.02320228331,103924690.0,102740883.0,0.9886089917612456,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.99
20220105_10,1,3572.95351414941,104435818.0,103240975.0,0.9885590688819041,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.100
20220105_11,1,3570.65307777375,104262458.0,103077972.0,0.9886393815883374,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.101
20220105_12,1,3548.79558593966,104075799.0,102895759.0,0.9886617252873552,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.102
20220105_13,1,3024.3701111991,105127444.0,88075250.0,0.8377950290506445,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.103
20220105_18,1,3529.34569080826,105080701.0,103872003.0,0.9884974311315262,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.104
20220105_19,1,3597.49880195595,106018995.0,105350547.0,0.9936950166335758,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.105
20220105_20,1,3562.7002492547,104922939.0,103772134.0,0.9890319027376845,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.106
20220105_21,1,3587.19073764514,105651150.0,104528096.0,0.989370167764383,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.107
20220105_22,1,3565.5547166476,104631691.0,103554363.0,0.9897036166604628,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.108
20220106_00,1,3583.13830916304,104814693.0,103695775.0,0.9893247981940853,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.109
20220106_01,1,3542.71878011059,103630846.0,102488090.0,0.9889728199266076,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.110
20220106_02,1,3596.25224112533,104969865.0,103829172.0,0.9891331383535646,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.111
20220106_03,1,3550.3308031708,103642478.0,102512459.0,0.9890969511554906,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.112
20220106_04,1,3552.33166425023,103655576.0,102568438.0,0.989512016218018,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.113
20220106_05,1,3586.66785650421,104260772.0,103686203.0,0.9944891161941521,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.114
20220106_06,1,3591.14430765621,104261464.0,103121919.0,0.9890703146082813,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.115
20220106_07,1,3565.64952288754,103732729.0,102562581.0,0.9887195872384693,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.116
20220106_08,1,3529.29904488847,102449504.0,101267167.0,0.988459319432137,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.117
20220106_09,1,3578.189587011,103590034.0,102386804.0,0.9883846934541985,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.118
20220106_10,1,3537.81258123927,102228394.0,101030626.0,0.9882834117495771,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.119
20220106_11,1,3578.97931693587,103297779.0,102087687.0,0.9882854015670559,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.120
20220106_12,1,3562.5116558047,103127299.0,101916444.0,0.9882586375116835,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.121
20220106_13,2,2684.82614408713,102804173.0,77190210.0,0.7508470497593517,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.122
20220106_16,1,1889.26986213773,104860624.0,54877488.0,0.5233374159589209,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.123
20220106_17,1,3569.66457227245,104932013.0,103730732.0,0.9885518159267563,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.124
20220106_18,1,3537.1942186961,104060597.0,102851909.0,0.9883847677714169,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.125
20220106_19,1,3555.94516242854,104348851.0,103110020.0,0.9881279861912423,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.126
20220106_20,1,3565.88797650766,104474535.0,103271270.0,0.9884826958071649,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.127
20220106_21,1,3570.04445667844,104550436.0,103358714.0,0.9886014631254144,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.128
20220106_22,2,3454.74192942493,103422836.0,99912571.0,0.9660590916304016,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.129
20220106_23,1,3583.47054685,104735784.0,103659968.0,0.9897282861796308,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.130
20220107_00,1,3541.01573538501,103550567.0,102420384.0,0.989085689892939,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.131
20220107_01,1,3585.45322632417,104799049.0,103662421.0,0.9891542145578057,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.132
20220107_02,2,3460.41138859,103499422.0,100054112.0,0.9667117947769795,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.133
20220107_03,1,3582.57632078603,104688857.0,103601230.0,0.9896108618322197,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.134
20220107_04,1,3572.33462480363,104554415.0,103500763.0,0.9899224532986005,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.135
20220107_05,1,3566.6106730001,104512443.0,103431791.0,0.9896600637304019,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.136
20220107_06,1,3569.67450231314,104526745.0,103412732.0,0.9893423161698951,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.137
20220107_07,1,3539.27451004274,103367412.0,102228104.0,0.9889780736698719,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.138
20220107_08,1,3587.53547337838,104644650.0,103495905.0,0.9890224201619481,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.139
20220107_09,1,3543.3916101465,103242428.0,102087820.0,0.9888165357753887,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.140
20220107_10,1,3583.67128756363,104118912.0,102975665.0,0.9890197949821066,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.141
20220107_11,1,3543.78035778645,102918369.0,101689523.0,0.9880599934497601,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.142
20220107_12,1,3571.84825523291,103955490.0,102789645.0,0.9887851521838817,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.143
20220107_13,1,2532.18563287519,103751332.0,73182590.0,0.7053653055750648,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.144
20220107_16,2,2149.48974545114,104302958.0,62253677.0,0.5968543768432722,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.145
