cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
53,"[800,1100)",>=5,36,12,24,4,0.5714285714285714,43.47639258630079,0.0,9.583745151798918e-06,1.7532672882080078,1.1096627712249756,0.5792165994644165,0.7727272727272727,,,0.0,960,6512,3.0,7,4,crab_roi_local,dec_sideband,False,False,direct_expectation
54,"[1100,2000)","[3.5,3.75)",21507,8664,12843,819,0.1279887482419128,43.47639258630079,0.0,0.005725489082770537,0.21391303837299347,0.13538800179958344,0.707865834236145,9.135135135135133,,,0.0,16,9100,5046.0,6399,2244,crab_roi_local,dec_sideband,False,False,direct_expectation
55,"[1100,2000)","[3.75,4.0)",51102,20073,31029,1810,0.12282844733984799,43.47639258630079,0.0,0.013604126242978565,0.2172287553548813,0.1374865472316742,0.7136972546577454,19.56756756756757,,,0.0,16,9100,11766.0,14736,5280,crab_roi_local,dec_sideband,False,False,direct_expectation
56,"[1100,2000)","[4.0,4.25)",46341,17290,29051,1523,0.12013883410901632,43.47639258630079,0.0,0.012336675946653159,0.23240472376346588,0.1470915973186493,0.7426062822341919,16.864864864864867,,,0.0,16,9100,10103.0,12677,4563,crab_roi_local,dec_sideband,False,False,direct_expectation
57,"[1100,2000)","[4.25,4.5)",25304,9040,16264,722,0.10862043026929442,43.47639258630079,0.0,0.006736307981142218,0.29243433475494385,0.1850850135087967,0.8714531660079956,19.43243243243243,,,0.0,32,9100,5354.0,6647,2367,crab_roi_local,dec_sideband,False,False,direct_expectation
58,"[1100,2000)","[4.5,4.75)",10148,3384,6764,287,0.11521477318346046,43.47639258630079,0.0,0.002701551272234873,0.5586923360824585,0.35360273718833923,0.7991706728935242,19.583926031294453,,,0.0,96,9100,1992.0,2491,884,crab_roi_local,dec_sideband,False,False,direct_expectation
59,"[1100,2000)","[4.75,5.0)",3881,1272,2609,107,0.11358811040339703,43.47639258630079,0.0,0.0010331809703925446,0.8077825903892517,0.5112547874450684,0.6368004083633423,20.214082503556188,,,0.0,208,9100,757.0,942,330,crab_roi_local,dec_sideband,False,False,direct_expectation
60,"[1100,2000)",>=5,1640,472,1168,74,0.22424242424242424,43.47639258630079,0.0,0.00043659283469306187,1.4239754676818848,0.9012502431869507,0.46831557154655457,19.13281423804227,,,0.0,640,7828,239.0,330,141,crab_roi_local,dec_sideband,False,False,direct_expectation
61,"[2000,3000)","[4.0,4.25)",310,136,174,13,0.11926605504587157,43.47639258630079,0.0,8.252669436271292e-05,0.15914607048034668,0.10072536021471024,0.7104598879814148,0.05405405405405406,,,0.0,12,9100,89.0,109,27,crab_roi_local,dec_sideband,False,False,direct_expectation
62,"[2000,3000)","[4.25,4.5)",1492,564,928,51,0.12056737588652482,43.47639258630079,0.0,0.0003971929935134441,0.17746813595294952,0.11232160776853561,0.7565106153488159,0.32432432432432434,,,0.0,12,9100,331.0,423,139,crab_roi_local,dec_sideband,False,False,direct_expectation
63,"[2000,3000)","[4.5,4.75)",5442,2241,3201,223,0.13490623109497882,43.47639258630079,0.0,0.00144874280878027,0.2023904025554657,0.12809519469738007,0.7595100998878479,2.0,,,0.0,12,9100,1299.0,1653,581,crab_roi_local,dec_sideband,False,False,direct_expectation
64,"[2000,3000)","[4.75,5.0)",11221,4370,6851,359,0.11145606954361999,43.47639258630079,0.0,0.002987200120787102,0.2559939920902252,0.16202151775360107,0.8102084398269653,7.675675675675676,,,0.0,24,9100,2598.0,3221,1130,crab_roi_local,dec_sideband,False,False,direct_expectation
65,"[2000,3000)",>=5,20675,7146,13529,600,0.11419870574800152,43.47639258630079,0.0,0.005503998083706741,0.3033556044101715,0.1919972151517868,0.7039083242416382,14.972972972972974,,,0.0,32,9100,4224.0,5254,1870,crab_roi_local,dec_sideband,False,False,direct_expectation
