scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,0,41,"[500,800)","[3.5,3.75)",267
file,202201,0,42,"[500,800)","[3.75,4.0)",36
file,202201,0,43,"[500,800)","[4.0,4.25)",16
file,202201,0,44,"[500,800)","[4.25,4.5)",7
file,202201,0,45,"[500,800)","[4.5,4.75)",2
file,202201,0,46,"[500,800)","[4.75,5.0)",0
file,202201,0,47,"[500,800)","[5,6)",0
file,202201,0,48,"[500,800)",>=6,0
file,202201,0,49,"[800,1100)","[2,2.5)",0
file,202201,0,50,"[800,1100)","[2.5,3)",0
file,202201,0,51,"[800,1100)","[3,3.25)",10
file,202201,0,52,"[800,1100)","[3.25,3.5)",146
file,202201,0,53,"[800,1100)","[3.5,3.75)",228
file,202201,0,54,"[800,1100)","[3.75,4.0)",103
file,202201,0,55,"[800,1100)","[4.0,4.25)",12
file,202201,0,56,"[800,1100)","[4.25,4.5)",5
file,202201,0,57,"[800,1100)","[4.5,4.75)",0
file,202201,0,58,"[800,1100)","[4.75,5.0)",1
file,202201,0,59,"[800,1100)","[5,6)",0
file,202201,0,60,"[800,1100)",>=6,0
file,202201,0,61,"[1100,2000)","[2,2.5)",0
file,202201,0,62,"[1100,2000)","[2.5,3)",0
file,202201,0,63,"[1100,2000)","[3,3.25)",0
file,202201,0,64,"[1100,2000)","[3.25,3.5)",4
file,202201,0,65,"[1100,2000)","[3.5,3.75)",63
file,202201,0,66,"[1100,2000)","[3.75,4.0)",116
file,202201,0,67,"[1100,2000)","[4.0,4.25)",76
file,202201,0,68,"[1100,2000)","[4.25,4.5)",29
file,202201,0,69,"[1100,2000)","[4.5,4.75)",7
file,202201,0,70,"[1100,2000)","[4.75,5.0)",1
file,202201,0,71,"[1100,2000)","[5,6)",3
file,202201,0,72,"[1100,2000)",>=6,0
file,202201,0,73,"[2000,3000)","[2,2.5)",0
file,202201,0,74,"[2000,3000)","[2.5,3)",0
file,202201,0,75,"[2000,3000)","[3,3.25)",0
file,202201,0,76,"[2000,3000)","[3.25,3.5)",0
file,202201,0,77,"[2000,3000)","[3.5,3.75)",0
file,202201,0,78,"[2000,3000)","[3.75,4.0)",0
file,202201,0,79,"[2000,3000)","[4.0,4.25)",0
file,202201,0,80,"[2000,3000)","[4.25,4.5)",5
file,202201,0,81,"[2000,3000)","[4.5,4.75)",10
file,202201,0,82,"[2000,3000)","[4.75,5.0)",34
file,202201,0,83,"[2000,3000)","[5,6)",30
file,202201,0,84,"[2000,3000)",>=6,0
file,202201,1,1,"[125,200)","[2,2.5)",5618
file,202201,1,2,"[125,200)","[2.5,3)",13214
file,202201,1,3,"[125,200)","[3,3.25)",2547
file,202201,1,4,"[125,200)","[3.25,3.5)",1066
file,202201,1,5,"[125,200)","[3.5,3.75)",569
file,202201,1,6,"[125,200)","[3.75,4.0)",252
file,202201,1,7,"[125,200)","[4.0,4.25)",111
file,202201,1,8,"[125,200)","[4.25,4.5)",34
file,202201,1,9,"[125,200)","[4.5,4.75)",19
file,202201,1,10,"[125,200)","[4.75,5.0)",5
file,202201,1,11,"[125,200)","[5,6)",4
file,202201,1,12,"[125,200)",>=6,0
file,202201,1,13,"[200,300)","[2,2.5)",231
file,202201,1,14,"[200,300)","[2.5,3)",4945
file,202201,1,15,"[200,300)","[3,3.25)",2171
file,202201,1,16,"[200,300)","[3.25,3.5)",728
file,202201,1,17,"[200,300)","[3.5,3.75)",354
file,202201,1,18,"[200,300)","[3.75,4.0)",213
file,202201,1,19,"[200,300)","[4.0,4.25)",99
file,202201,1,20,"[200,300)","[4.25,4.5)",27
file,202201,1,21,"[200,300)","[4.5,4.75)",11
file,202201,1,22,"[200,300)","[4.75,5.0)",4
file,202201,1,23,"[200,300)","[5,6)",0
file,202201,1,24,"[200,300)",>=6,0
file,202201,1,25,"[300,500)","[2,2.5)",0
file,202201,1,26,"[300,500)","[2.5,3)",987
file,202201,1,27,"[300,500)","[3,3.25)",1838
file,202201,1,28,"[300,500)","[3.25,3.5)",1080
file,202201,1,29,"[300,500)","[3.5,3.75)",286
file,202201,1,30,"[300,500)","[3.75,4.0)",145
file,202201,1,31,"[300,500)","[4.0,4.25)",70
file,202201,1,32,"[300,500)","[4.25,4.5)",20
file,202201,1,33,"[300,500)","[4.5,4.75)",16
file,202201,1,34,"[300,500)","[4.75,5.0)",3
file,202201,1,35,"[300,500)","[5,6)",1
file,202201,1,36,"[300,500)",>=6,0
file,202201,1,37,"[500,800)","[2,2.5)",0
file,202201,1,38,"[500,800)","[2.5,3)",6
file,202201,1,39,"[500,800)","[3,3.25)",212
file,202201,1,40,"[500,800)","[3.25,3.5)",762
file,202201,1,41,"[500,800)","[3.5,3.75)",382
file,202201,1,42,"[500,800)","[3.75,4.0)",68
file,202201,1,43,"[500,800)","[4.0,4.25)",35
file,202201,1,44,"[500,800)","[4.25,4.5)",11
file,202201,1,45,"[500,800)","[4.5,4.75)",1
file,202201,1,46,"[500,800)","[4.75,5.0)",2
file,202201,1,47,"[500,800)","[5,6)",0
file,202201,1,48,"[500,800)",>=6,0
file,202201,1,49,"[800,1100)","[2,2.5)",0
file,202201,1,50,"[800,1100)","[2.5,3)",0
file,202201,1,51,"[800,1100)","[3,3.25)",4
file,202201,1,52,"[800,1100)","[3.25,3.5)",74
file,202201,1,53,"[800,1100)","[3.5,3.75)",182
file,202201,1,54,"[800,1100)","[3.75,4.0)",84
file,202201,1,55,"[800,1100)","[4.0,4.25)",23
file,202201,1,56,"[800,1100)","[4.25,4.5)",7
file,202201,1,57,"[800,1100)","[4.5,4.75)",1
file,202201,1,58,"[800,1100)","[4.75,5.0)",0
file,202201,1,59,"[800,1100)","[5,6)",0
file,202201,1,60,"[800,1100)",>=6,0
file,202201,1,61,"[1100,2000)","[2,2.5)",0
file,202201,1,62,"[1100,2000)","[2.5,3)",0
file,202201,1,63,"[1100,2000)","[3,3.25)",0
file,202201,1,64,"[1100,2000)","[3.25,3.5)",4
file,202201,1,65,"[1100,2000)","[3.5,3.75)",39
file,202201,1,66,"[1100,2000)","[3.75,4.0)",75
file,202201,1,67,"[1100,2000)","[4.0,4.25)",80
file,202201,1,68,"[1100,2000)","[4.25,4.5)",29
file,202201,1,69,"[1100,2000)","[4.5,4.75)",16
file,202201,1,70,"[1100,2000)","[4.75,5.0)",2
file,202201,1,71,"[1100,2000)","[5,6)",1
file,202201,1,72,"[1100,2000)",>=6,0
file,202201,1,73,"[2000,3000)","[2,2.5)",0
file,202201,1,74,"[2000,3000)","[2.5,3)",0
file,202201,1,75,"[2000,3000)","[3,3.25)",0
file,202201,1,76,"[2000,3000)","[3.25,3.5)",0
file,202201,1,77,"[2000,3000)","[3.5,3.75)",0
file,202201,1,78,"[2000,3000)","[3.75,4.0)",0
file,202201,1,79,"[2000,3000)","[4.0,4.25)",2
file,202201,1,80,"[2000,3000)","[4.25,4.5)",1
file,202201,1,81,"[2000,3000)","[4.5,4.75)",6
file,202201,1,82,"[2000,3000)","[4.75,5.0)",21
file,202201,1,83,"[2000,3000)","[5,6)",22
file,202201,1,84,"[2000,3000)",>=6,0
file,202201,2,1,"[125,200)","[2,2.5)",1562
file,202201,2,2,"[125,200)","[2.5,3)",8239
file,202201,2,3,"[125,200)","[3,3.25)",3570
file,202201,2,4,"[125,200)","[3.25,3.5)",1822
file,202201,2,5,"[125,200)","[3.5,3.75)",802
file,202201,2,6,"[125,200)","[3.75,4.0)",355
file,202201,2,7,"[125,200)","[4.0,4.25)",139
file,202201,2,8,"[125,200)","[4.25,4.5)",59
file,202201,2,9,"[125,200)","[4.5,4.75)",23
file,202201,2,10,"[125,200)","[4.75,5.0)",10
file,202201,2,11,"[125,200)","[5,6)",11
file,202201,2,12,"[125,200)",>=6,0
file,202201,2,13,"[200,300)","[2,2.5)",45
file,202201,2,14,"[200,300)","[2.5,3)",1968
file,202201,2,15,"[200,300)","[3,3.25)",2079
file,202201,2,16,"[200,300)","[3.25,3.5)",1494
file,202201,2,17,"[200,300)","[3.5,3.75)",670
file,202201,2,18,"[200,300)","[3.75,4.0)",279
file,202201,2,19,"[200,300)","[4.0,4.25)",108
file,202201,2,20,"[200,300)","[4.25,4.5)",36
file,202201,2,21,"[200,300)","[4.5,4.75)",10
file,202201,2,22,"[200,300)","[4.75,5.0)",8
file,202201,2,23,"[200,300)","[5,6)",2
file,202201,2,24,"[200,300)",>=6,0
file,202201,2,25,"[300,500)","[2,2.5)",0
file,202201,2,26,"[300,500)","[2.5,3)",252
file,202201,2,27,"[300,500)","[3,3.25)",923
file,202201,2,28,"[300,500)","[3.25,3.5)",1223
file,202201,2,29,"[300,500)","[3.5,3.75)",755
file,202201,2,30,"[300,500)","[3.75,4.0)",266
file,202201,2,31,"[300,500)","[4.0,4.25)",79
file,202201,2,32,"[300,500)","[4.25,4.5)",39
file,202201,2,33,"[300,500)","[4.5,4.75)",16
file,202201,2,34,"[300,500)","[4.75,5.0)",5
file,202201,2,35,"[300,500)","[5,6)",2
file,202201,2,36,"[300,500)",>=6,0
file,202201,2,37,"[500,800)","[2,2.5)",0
file,202201,2,38,"[500,800)","[2.5,3)",0
file,202201,2,39,"[500,800)","[3,3.25)",51
file,202201,2,40,"[500,800)","[3.25,3.5)",312
file,202201,2,41,"[500,800)","[3.5,3.75)",467
file,202201,2,42,"[500,800)","[3.75,4.0)",239
file,202201,2,43,"[500,800)","[4.0,4.25)",57
file,202201,2,44,"[500,800)","[4.25,4.5)",16
file,202201,2,45,"[500,800)","[4.5,4.75)",3
file,202201,2,46,"[500,800)","[4.75,5.0)",3
file,202201,2,47,"[500,800)","[5,6)",0
file,202201,2,48,"[500,800)",>=6,0
file,202201,2,49,"[800,1100)","[2,2.5)",0
file,202201,2,50,"[800,1100)","[2.5,3)",0
file,202201,2,51,"[800,1100)","[3,3.25)",0
file,202201,2,52,"[800,1100)","[3.25,3.5)",16
file,202201,2,53,"[800,1100)","[3.5,3.75)",100
file,202201,2,54,"[800,1100)","[3.75,4.0)",118
file,202201,2,55,"[800,1100)","[4.0,4.25)",39
file,202201,2,56,"[800,1100)","[4.25,4.5)",15
file,202201,2,57,"[800,1100)","[4.5,4.75)",0
file,202201,2,58,"[800,1100)","[4.75,5.0)",0
file,202201,2,59,"[800,1100)","[5,6)",0
file,202201,2,60,"[800,1100)",>=6,0
file,202201,2,61,"[1100,2000)","[2,2.5)",0
file,202201,2,62,"[1100,2000)","[2.5,3)",0
file,202201,2,63,"[1100,2000)","[3,3.25)",0
file,202201,2,64,"[1100,2000)","[3.25,3.5)",0
file,202201,2,65,"[1100,2000)","[3.5,3.75)",9
file,202201,2,66,"[1100,2000)","[3.75,4.0)",31
file,202201,2,67,"[1100,2000)","[4.0,4.25)",48
file,202201,2,68,"[1100,2000)","[4.25,4.5)",36
file,202201,2,69,"[1100,2000)","[4.5,4.75)",16
file,202201,2,70,"[1100,2000)","[4.75,5.0)",8
file,202201,2,71,"[1100,2000)","[5,6)",1
file,202201,2,72,"[1100,2000)",>=6,0
file,202201,2,73,"[2000,3000)","[2,2.5)",0
file,202201,2,74,"[2000,3000)","[2.5,3)",0
file,202201,2,75,"[2000,3000)","[3,3.25)",0
file,202201,2,76,"[2000,3000)","[3.25,3.5)",0
file,202201,2,77,"[2000,3000)","[3.5,3.75)",0
file,202201,2,78,"[2000,3000)","[3.75,4.0)",0
file,202201,2,79,"[2000,3000)","[4.0,4.25)",0
file,202201,2,80,"[2000,3000)","[4.25,4.5)",1
file,202201,2,81,"[2000,3000)","[4.5,4.75)",2
file,202201,2,82,"[2000,3000)","[4.75,5.0)",3
file,202201,2,83,"[2000,3000)","[5,6)",32
file,202201,2,84,"[2000,3000)",>=6,0
file,202201,3,1,"[125,200)","[2,2.5)",1846
file,202201,3,2,"[125,200)","[2.5,3)",8728
file,202201,3,3,"[125,200)","[3,3.25)",3321
file,202201,3,4,"[125,200)","[3.25,3.5)",1683
file,202201,3,5,"[125,200)","[3.5,3.75)",724
file,202201,3,6,"[125,200)","[3.75,4.0)",318
file,202201,3,7,"[125,200)","[4.0,4.25)",128
file,202201,3,8,"[125,200)","[4.25,4.5)",46
file,202201,3,9,"[125,200)","[4.5,4.75)",18
