cell_id,nhit_bin,predE_bin,rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
2,"[125,200)","[2.5,3)",9.9,10,9.95,2524,6.25176938064,403.725704888,3433792,0.988947539405
2,"[125,200)","[2.5,3)",10,10.1,10.05,2411,6.31460123372,381.813500293,3436203,0.989641918248
2,"[125,200)","[2.5,3)",10.1,10.2,10.15,2350,6.37743308679,368.486814055,3438553,0.990318728817
2,"[125,200)","[2.5,3)",10.2,10.3,10.25,2257,6.44026493986,350.451421033,3440810,0.990968754968
2,"[125,200)","[2.5,3)",10.3,10.4,10.35,2146,6.50309679293,329.996625966,3442956,0.99158681262
2,"[125,200)","[2.5,3)",10.4,10.5,10.45,2155,6.565928646,328.209475945,3445111,0.992207462312
2,"[125,200)","[2.5,3)",10.5,10.6,10.55,2071,6.62876049907,312.426433311,3447182,0.992803919626
2,"[125,200)","[2.5,3)",10.6,10.7,10.65,1987,6.69159235215,296.939785844,3449169,0.993376184562
2,"[125,200)","[2.5,3)",10.7,10.8,10.75,2030,6.75442420522,300.543753001,3451199,0.993960833692
2,"[125,200)","[2.5,3)",10.8,10.9,10.85,1884,6.81725605829,276.357523304,3453083,0.994503434166
2,"[125,200)","[2.5,3)",10.9,11,10.95,1841,6.88008791136,267.583790166,3454924,0.995033650445
2,"[125,200)","[2.5,3)",11,11.1,11.05,1776,6.94291976443,255.800161929,3456700,0.995545146433
2,"[125,200)","[2.5,3)",11.1,11.2,11.15,1802,7.00575161751,257.217226414,3458502,0.996064130537
2,"[125,200)","[2.5,3)",11.2,11.3,11.25,1732,7.06858347058,245.027876831,3460234,0.996562954327
2,"[125,200)","[2.5,3)",11.3,11.4,11.35,1770,7.13141532365,248.197576452,3462004,0.997072722288
2,"[125,200)","[2.5,3)",11.4,11.5,11.45,1835,7.19424717672,255.064908798,3463839,0.997601210541
2,"[125,200)","[2.5,3)",11.5,11.6,11.55,1659,7.25707902979,228.604372805,3465498,0.998079010002
2,"[125,200)","[2.5,3)",11.6,11.7,11.65,1698,7.31991088286,231.970037228,3467196,0.998568041639
2,"[125,200)","[2.5,3)",11.7,11.8,11.75,1660,7.38274273594,224.84868556,3468856,0.999046129104
2,"[125,200)","[2.5,3)",11.8,11.9,11.85,1651,7.44557458901,221.742456578,3470507,0.99952162453
2,"[125,200)","[2.5,3)",11.9,12,11.95,1661,7.50840644208,221.218711695,3472168,1
