cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
37,"[500,800)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
38,"[500,800)","[2.5,3)",871,913,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
39,"[500,800)","[3,3.25)",9340,27769,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
40,"[500,800)","[3.25,3.5)",10000,89513,89007,88998,83306,31914320.71546269,815.2779738411,82681,8281.776092149092,0.80259948915992,0.19740051084008003,0.0,0.19654989133849823,0.1860720442024623,0.18586500860164698,13.834226183516636,0.3105488283148272,0.5903538236482988,0.3742499266894629,42.79156901066568,50.75028219853089,True,False
41,"[500,800)","[3.5,3.75)",9987,68604,67868,67855,66385,22783726.84622383,2589.967656990415,65457,5415.816433589022,0.9252894091172531,0.0747105908827469,0.0,0.20624994003371855,0.19467797560730637,0.1941209076152842,9.969921378104884,0.3258749052532753,0.702459064995794,0.3142162374297412,0.5331360952996792,37.10005388843148,False,False
42,"[500,800)","[3.75,4.0)",9288,26703,26014,25987,25796,8006853.447732925,5827.5630134371,24851,6121.386125955783,0.8591408516953373,0.14085914830466273,0.0,0.3403802319713698,0.22478974842050067,0.22694979855042471,9.060127063885725,0.5378007665147643,0.752054641069028,0.40917400232086787,22.842958334842592,35.82686369943479,False,False
43,"[500,800)","[4.0,4.25)",6502,10601,10511,10475,10380,2444997.9067602158,3186.820022620028,10220,3298.0893055313636,0.9219409218040384,0.07805907819596158,0.0,0.6191260102191416,0.34964897975271403,0.36236151711941245,7.771726156130088,0.9782190961462437,0.674261736537901,0.9878567774205846,2.0504602366277007,30.075621166193173,False,False
44,"[500,800)","[4.25,4.5)",4077,5257,5228,5174,5083,877922.6724357605,3194.5818147565487,5011,3209.315255810296,0.9650369538549528,0.034963046145047194,0.0,0.7484073155577379,0.638939442189337,0.6547117388847971,4.3633033571553606,1.182483558581226,0.6909247029823391,1.1699458420122681,1.8149169824133904,2.3345893541962197,False,False
45,"[500,800)","[4.5,4.75)",3990,5154,5136,5127,5024,615911.4206571579,3045.887751175955,4896,3054.520304428283,0.9498883518713958,0.05011164812860425,0.0,0.8829557908343529,0.8418736685810209,0.8428064816671592,3.3616519242331644,1.3950701495182778,0.6950831776751109,1.3606778773264743,2.2776433301551613,2.998856214188304,False,False
46,"[500,800)","[4.75,5.0)",4136,5397,5395,5365,5256,460710.27721500397,2843.9816162155503,4999,2734.5305671469287,0.927987724118244,0.07201227588175596,0.0,0.9859711716069781,0.9450670256106392,0.9396331246230928,1.345860888915319,1.5578344511390254,0.6489234029873381,1.6368930606621805,2.63579672002139,3.407737067970225,False,False
47,"[500,800)","[5,6)",9301,27712,27712,27208,26854,659200.5101251602,6829.651265198916,18202,5282.052004074024,0.7521957070614853,0.2478042929385147,0.0,1.179013937920749,1.1647542896673153,1.2446070136547016,2.0006258611632854,1.8628420219147834,0.5107997154488723,2.571844740535982,4.434241531863617,5.469090629927783,True,False
48,"[500,800)",>=6,415,426,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
49,"[800,1100)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
50,"[800,1100)","[2.5,3)",5,5,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
