cell_id,nhit_bin,predE_bin,included_in_final_sed_fit,source,events,fit_status,fit_error,conditional_core_fraction,physical_core_fraction,sigma_core_deg,gamma_core,sigma_tail_deg,gamma_tail,conditional_r_target_deg,rayleigh_sigma_deg,original_r_opt_deg,rayleigh_kl_divergence,double_king_kl_divergence,kl_improvement_factor,optimizer_success,optimizer_message,boundary_flags
21,"[200,300)","[4.25,4.5)",True,formal,10301,ok,,0.800198001414719,0.8081546471908316,0.7235082324214921,1.9901114321052562,1.8723565197326406,99.99999999999999,2.230304458778314,1.1043256521224976,1.744834542274475,0.26176694948881546,,25.108978829608358,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
22,"[200,300)","[4.5,4.75)",False,formal,8295,ok,,0.7231098608770775,0.8783862717222026,0.8218599350452044,1.1570159940518585,1.5586086322248303,99.99999999999999,2.7845888504618346,1.231553316116333,1.9458543062210083,0.3564772410188631,,28.394492305254765,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
23,"[200,300)","[4.75,5.0)",False,formal,6791,ok,,0.001981065926777022,0.001029698750833988,0.04570285011793118,99.99999999999999,1.5286005216646916,1.4787707840352455,3.350422741815306,1.3379350900650024,2.1139373779296875,0.5199850619695625,,24.596905460281874,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,conditional_core_fraction;gamma_core
24,"[200,300)","[5,5.5)",False,formal,13199,ok,,0.0016637058414577307,0.0005333815378907285,0.09035699909995051,99.99999999999999,2.7539800116767728,1.5274059196195269,3.8327874430697526,1.4426970481872559,2.27946138381958,0.7185028292627186,,47.68278206434657,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,conditional_core_fraction;gamma_core
25,"[200,300)","[5.5,6)",False,unfiltered_diagnostic,9591,ok,,0.05533877181633793,0.0020481635696532195,1.4748204214815057,99.9999998606765,9.651349548144609,1.3837484898044847,4.133906706037337,1.456707239151001,2.3015973567962646,1.0394813333914161,,33.675288404717826,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
26,"[200,300)",>=6,False,unfiltered_diagnostic,132,ok,,0.05931442779047929,9.862066274689926e-05,0.44750987211147175,99.99999999999999,22.375493605573585,1.067726536016345,4.160109230655675,1.3048877716064453,2.061722755432129,3.579909836383848,,2.407454502496904,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_core
27,"[300,500)","[2,2.5)",False,unfiltered_diagnostic,193,ok,,0.09343572785637036,0.10061049881608544,0.07638785893660123,1.3448064929132901,0.2975192123057737,99.99999999999999,0.4773399600965608,0.31447911262512207,0.4968770146369934,3.8861402932323803,,35.20566855873134,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
28,"[300,500)","[2.5,3)",True,formal,58673,ok,,0.9811543356098015,0.17001977815416638,0.24092255564591517,10.213439784125383,12.046127782295757,1.0500000000410328,0.42327516159114204,0.2783496379852295,0.4397924244403839,11.01793696121852,,242.2591541508398,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_tail
29,"[300,500)","[3,3.25)",True,formal,141726,ok,,0.9918101698418657,0.368802416504539,0.2165340802012175,8.695383319111958,10.826704010060874,1.05,0.38229985320676446,0.25884607434272766,0.40897679328918457,4.649738020436038,,325.4158460109756,False,ABNORMAL: ,sigma_ratio;gamma_tail
30,"[300,500)","[3.25,3.5)",True,formal,131613,ok,,0.018939141902097924,0.02433768802182977,0.18658611785736276,1.262983784965444,0.20953184175808381,8.37692746263832,0.37290988512647877,0.25605058670043945,0.4045599400997162,1.9673680770475934,,333.47210010853377,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
31,"[300,500)","[3.5,3.75)",True,formal,55871,ok,,0.7994853707548113,0.7993828559855093,0.2200838498688775,99.99999999999999,0.37877497720479775,3.20252454218727,0.40793449714909275,0.32284247875213623,0.5100911259651184,1.171198288767573,,235.47701577836605,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
32,"[300,500)","[3.75,4.0)",True,formal,22548,ok,,0.3480177528307267,0.34792028164599503,0.22839986656765945,99.99999999999999,0.5724309269533134,4.4242938223620705,0.8862331097184045,0.6029133796691895,0.9526031613349915,0.23962129587612435,,16.101119298491806,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
33,"[300,500)","[4.0,4.25)",True,formal,15896,ok,,0.13541473393602277,0.13511890032229562,0.23049316922793023,99.99999999999999,0.6582928539462459,3.772858266535518,1.2601635029376244,0.7961710691452026,1.2579503059387207,0.1495385867316294,,19.161882253519718,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
34,"[300,500)","[4.25,4.5)",True,formal,12400,ok,,0.08606545606556425,0.0852298937674238,0.28781212716577187,99.99999999999999,0.7649354045880591,3.243184749691591,1.5812782464342232,0.932671070098877,1.4736202955245972,0.14874962854205362,,18.09532012221519,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
35,"[300,500)","[4.5,4.75)",False,formal,10742,ok,,0.4764009749089662,0.5839544449485541,0.45951964798586625,1.2703322393770784,1.2107197991324925,99.99999999999999,2.0135717516951597,1.0784484148025513,1.7039483785629272,0.1810203164365573,,16.06223180193031,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
36,"[300,500)","[4.75,5.0)",False,formal,8785,ok,,0.1443562903255651,0.1478404631611723,0.4732769960134366,1.5902814302178645,1.3113441131641346,2.8555510925907317,2.6080684514793915,1.208764672279358,1.9098480939865112,0.2822780983245174,,19.95946501742418,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
37,"[300,500)","[5,5.5)",False,formal,17728,ok,,0.003605749841405444,0.0018071875612819263,0.31000666368027974,99.99999999999999,1.5328738955128247,1.450249213955067,3.3626054719421243,1.3457483053207397,2.126282215118408,0.5040332332638111,,43.285282605987014,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
38,"[300,500)","[5.5,6)",False,formal,13883,ok,,0.0009110511944006454,0.005781829118506937,1.9896728079731376,1.05141125888485,4.620595487938008,99.9914594779726,4.02723982958433,1.4842866659164429,2.345172882080078,0.8541716432673689,,48.79845555629144,False,ABNORMAL: ,conditional_core_fraction;gamma_tail
39,"[300,500)",>=6,False,unfiltered_diagnostic,182,ok,,0.0009110511944006454,0.0017854807300028593,2.0,1.05,9.391902825984367,99.99999999999999,4.177634850423393,1.4348735809326172,2.2671003341674805,2.4021043060882072,,1.9312244447045284,False,ABNORMAL: ,conditional_core_fraction;sigma_core;gamma_core;gamma_tail
40,"[500,800)","[2,2.5)",False,empty,0,empty,,,,,,,,,nan,nan,,,,,,
41,"[500,800)","[2.5,3)",False,unfiltered_diagnostic,764,ok,,0.9877972621131877,0.950771024156897,0.20765824996419044,99.99999999999999,0.22646627179400286,1.05,0.33407127093248423,0.22002768516540527,0.34764373302459717,3.2101110475198302,,103.29768414838884,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core;gamma_tail
42,"[500,800)","[3,3.25)",True,formal,16004,ok,,0.641515212061867,0.6415152113115199,0.17658373852742493,99.99999999999999,0.21937536325576001,6.198433649043124,0.3191402316852433,0.21503491699695587,0.3397551476955414,0.2673886533082183,,5.8605900312331,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
43,"[500,800)","[3.25,3.5)",True,formal,69150,ok,,0.9975092177274497,0.9971635869419277,0.18645954268896053,15.535590137936568,0.2923400395081753,1.4550453569828403,0.31185668016682905,0.20305980741977692,0.3208344876766205,0.3163544271949801,,52.398652821215215,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
