selector,run,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,required_delta_b,required_delta_b_over_b,pull_conservative,containment_r_opt
active30,active30,83,"[2000,3000)","[5,6)",21,12.864504552004535,8.135495447995465,0.9300025648497153,8.74782044209752,7.20549288314575,0.5601065205440031,1.2382015134036908,0.7039083242416382
active30,active30,54,"[800,1100)","[3.75,4.0)",152,55.02882674107502,96.97117325892498,92.09200759510337,1.052981423591867,4.87916566382161,0.08866563132045967,0.339101845718161,0.7769456505775452
active30,active30,82,"[2000,3000)","[4.75,5.0)",11,6.792576891202502,4.207423108797498,2.608417826008652,1.6130173114311257,1.5990052827888457,0.23540481151708698,0.3790796516892335,0.8102084398269653
active30,active30,42,"[500,800)","[3.75,4.0)",238,158.51301047074116,79.48698952925884,78.38197754052695,1.0140977814467689,1.1050119887318886,0.006971112247823059,0.0554930083149364,0.7524763941764832
active30,active30,68,"[1100,2000)","[4.25,4.5)",44,20.0113172395596,23.9886827604404,22.980867380836514,1.0438545405141797,1.007815379603887,0.050362270885975245,0.12596578556021354,0.8714531660079956
active30,active30,81,"[2000,3000)","[4.5,4.75)",6,1.8890073367277047,4.110992663272295,5.247519449693704,0.783416374666749,-1.1365267864214088,-0.6016529233762505,-0.4046397055282622,0.7595100998878479
active30,active30,65,"[1100,2000)","[3.5,3.75)",54,9.076647017636056,44.923352982363944,72.97556526599173,0.6155944502604523,-28.05221228362779,-3.0905919585858013,-3.5320985875833273,0.7233335971832275
active30,active30,4,"[125,200)","[3.25,3.5)",7577,7565.296604484195,11.703395515804914,148.2929721617196,0.07892076977890684,-136.5895766459147,-0.01805475499334073,-1.1099966920937545,0.5925980806350708
drop4,drop4,2,"[125,200)","[2.5,3)",40293,36636.02456968762,3656.9754303123773,2334.4618805638493,1.5665175177026653,1322.513549748528,0.03609871882340547,4.768206082246453,0.6565228700637817
drop4,drop4,15,"[200,300)","[3,3.25)",4457,3144.754706932895,1312.2452930671052,684.5883506559871,1.91683847937185,627.656942411118,0.19958852149180087,7.198887902486793,0.702869176864624
drop4,drop4,14,"[200,300)","[2.5,3)",10510,8162.742528325416,2347.257471674584,1789.9261544256358,1.3113711232560812,557.3313172489482,0.06827745887058924,4.078583828298172,0.64971524477005
drop4,drop4,27,"[300,500)","[3,3.25)",3067,1545.419045004803,1521.580954995197,1048.8023905673288,1.450779449665564,472.77856442786833,0.30592256899901155,6.96134887237813,0.6196183562278748
drop4,drop4,1,"[125,200)","[2,2.5)",21284,20166.67191083177,1117.3280891682298,826.6158471987317,1.3516896548193156,290.7122419694981,0.014415479324248488,1.4278991432171353,0.5589009523391724
drop4,drop4,3,"[125,200)","[3,3.25)",9462,8804.991051593839,657.0089484061609,375.02940232170016,1.7518865036682612,281.97954608446076,0.032024966798054624,2.0863352657234926,0.6549341678619385
drop4,drop4,16,"[200,300)","[3.25,3.5)",2918,2503.606538623724,414.3934613762758,212.7113871138614,1.9481489308066842,201.6820742624144,0.08055661748402468,2.739071071228481,0.6853578090667725
drop4,drop4,26,"[300,500)","[2.5,3)",1834,1008.1763984630026,825.8236015369974,629.1194873976918,1.3126657464593223,196.7041141393056,0.1951088266291369,3.6896734323056495,0.5843835473060608
drop4,drop4,28,"[300,500)","[3.25,3.5)",1706,905.5029146436214,800.4970853563786,608.0046981650542,1.3165968746166972,192.4923871913245,0.21258063787357737,3.7667630450708094,0.7103378176689148
