tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,4,"[200,300)",14;15,"[2.5,3)..[3,3.25)",0.6929635481404217,0.4018300178098392,1.135541028002143,0.22558022681302226,3659.502764741689,162.0940999396903,3456.8062767194483,1.2504865266388925,1.0586369243157596
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,5,"[200,300)",16,"[3.25,3.5)",1.745690475523506,1.0996494821568878,2.6621752690168052,0.191991185289901,414.3934613762758,73.63155939285629,253.32342652702354,2.187513563170295,1.6358276336992068
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,6,"[300,500)",26,"[2.5,3)",0.7212428588868491,0.47679699696898664,1.0614473164413811,0.1737824659946654,825.8236015369974,53.31206616201442,969.9544356210953,-2.70353119772336,0.8514045311913998
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,7,"[300,500)",27,"[3,3.25)",1.1772415414575612,0.8093226113756948,1.660555757252329,0.156065894263115,1521.580954995197,67.91479253450461,1414.7178233835077,1.5734883023812045,1.0755367111698009
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,8,"[300,500)",28,"[3.25,3.5)",1.7944602752060468,1.2304132906307745,2.550613286889411,0.15829680204768737,800.4970853563786,51.10286601203128,706.666058157192,1.8361206429615082,1.132779869807069
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,9,"[300,500)",29,"[3.5,3.75)",2.877620428842667,1.840718231635943,4.291006836515129,0.18378594629749423,332.0461888091163,42.9412832969729,200.66139986657626,3.0596381583174965,1.6547586582666143
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,10,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,63.986057431473796,1.0083907846074742,1.645318506379726
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,11,"[500,800)",40,"[3.25,3.5)",2.0712097405154553,1.476146800100309,2.837068027332967,0.14187010001230504,758.121180063778,39.393893180748485,797.2520054245115,-0.9933221167349989,0.9509178715205644
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,12,"[500,800)",41,"[3.5,3.75)",3.139055598843094,2.2519105340853622,4.348092956337533,0.14287384382929047,363.4486411893382,27.469098252593984,384.12561128383027,-0.7527356706199653,0.946171331754253
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,13,"[500,800)",42,"[3.75,4.0)",4.92505376794929,3.2153920609880586,7.305780741001346,0.17821634951131093,79.48698952925884,19.9126344432559,93.55210816828735,-0.7063414275549135,0.8496547120699054
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,14,"[800,1100)",52;53,"[3.25,3.5)..[3.5,3.75)",3.531790922435416,2.4856090153363892,4.981613660910575,0.1509686141122506,349.6078118405384,23.630323488252582,380.6225792172021,-1.3124986372735092,0.9185156922627936
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,15,"[800,1100)",54;55,"[3.75,4.0)..[4.0,4.25)",6.20747793335945,4.483390547037468,8.910285168502023,0.14914251590192396,163.90741082684397,18.71076131997723,118.83903495170763,2.4086874448565294,1.3792388241241667
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,16,"[1100,2000)",65,"[3.5,3.75)",5.415551238287147,4.134692760850699,7.198960676425248,0.12041327879039354,44.923352982363944,7.942080773804561,78.12834086092768,-4.180892743886974,0.5749943296803107
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,17,"[1100,2000)",66,"[3.75,4.0)",7.780671741595454,5.810500251437633,10.600236406098253,0.13055101333864405,110.29316035381666,12.316933045453455,105.90774643489043,0.35604755686684675,1.0414078673803364
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,18,"[1100,2000)",67,"[4.0,4.25)",11.616428887017076,8.549732630029723,15.958156811334572,0.13551509738368805,75.16262420611811,10.527933120697618,61.89427080856061,1.2602999321369444,1.2143712693311568
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,19,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,25.565458704677507,2.2451860912815924,1.9972239012114223
0.55,20,73.79986115533545,17,4.341168303255026,4.180892743886974,0.5445320381818242,20,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,6.121256300270422,1.3390145777811313,2.687995799054904
