run,spectrum,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,excess_minus_expected,pull_conservative,containment_r_opt
active_psfborrow_30cell,official_pass5,65,"[1100,2000)","[3.5,3.75)",54,7.28742134727984,46.71257865272016,72.97556526599173,0.6401125977230255,-26.262986613271572,-3.354736685049241,0.7233335971832275
active_psfborrow_30cell,official_pass5,66,"[1100,2000)","[3.75,4.0)",131,14.748509627078077,116.25149037292192,98.71446455503877,1.1776540641428013,17.537025817883148,1.4526262238408263,0.7136972546577454
active_psfborrow_30cell,official_pass5,67,"[1100,2000)","[4.0,4.25)",93,12.890655576140784,80.10934442385921,59.60296599896509,1.3440496304370186,20.506378424894123,1.992783639572127,0.7426062822341919
active_psfborrow_30cell,official_pass5,68,"[1100,2000)","[4.25,4.5)",44,16.286184165563817,27.713815834436183,22.980867380836514,1.2059516890796915,4.732948453599668,0.6095690057003723,0.8714531660079956
active_psfborrow_30cell,official_pass5,69,"[1100,2000)","[4.5,4.75)",46,17.126581818554335,28.873418181445665,4.545350931533239,6.352296800921833,24.328067249912426,3.0619738032935366,0.7991706728935242
active_psfborrow_30cell,official_pass5,81,"[2000,3000)","[4.5,4.75)",6,1.7318701009309354,4.268129899069065,5.247519449693704,0.8133614253336772,-0.9793895506246395,-0.35221933401489036,0.7595100998878479
active_psfborrow_30cell,official_pass5,82,"[2000,3000)","[4.75,5.0)",11,6.022163523135932,4.977836476864068,2.608417826008652,1.9083738913412704,2.3694186508554163,0.5742941912026408,0.8102084398269653
active_psfborrow_30cell,official_pass5,83,"[2000,3000)","[5,6)",21,10.785819420021896,10.214180579978104,0.9300025648497153,10.982959581007902,9.284178015128388,1.6467465155115062,0.7039083242416382
active_psfborrow_30cell,tutorial_v099,1,"[125,200)","[2,2.5)",21284,19968.864147618202,1315.135852381798,888.6458823804247,1.4799324212912912,426.4899700013733,2.099818553796894,0.5589009523391724
active_psfborrow_30cell,tutorial_v099,2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,2485.600022766588,1.5374286617370316,1335.8326938489827,4.821383367121657,0.6565228700637817
active_psfborrow_30cell,tutorial_v099,3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,396.9211547491449,2.150898184557199,456.81583641313784,3.3982780812921223,0.6549341678619385
active_psfborrow_30cell,tutorial_v099,4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,157.49876217188017,2.6204930932651282,255.22565629733884,2.1021165752265207,0.5925980806350708
active_psfborrow_30cell,tutorial_v099,14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,1901.360120306461,1.286947842276376,545.5911839122898,4.003370137887686,0.64971524477005
active_psfborrow_30cell,tutorial_v099,15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,723.2473362819148,1.939526097549442,679.5097474199763,7.840428293889852,0.702869176864624
active_psfborrow_30cell,tutorial_v099,16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,225.52854636269885,2.622152410186949,365.84167504821096,5.051679143077875,0.6853578090667725
active_psfborrow_30cell,tutorial_v099,17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,100.64648259978603,4.967034328208012,399.26805148674146,6.031483423225416,0.6527048945426941
active_psfborrow_30cell,tutorial_v099,26,"[300,500)","[2.5,3)",1834,949.5708691528525,884.4291308471475,666.5641049047068,1.3268478220464437,217.86502594244064,4.129394516754062,0.5843835473060608
active_psfborrow_30cell,tutorial_v099,27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,1106.7204591238037,1.424702908174817,470.0273975264481,6.9626031849903764,0.6196183562278748
active_psfborrow_30cell,tutorial_v099,28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,643.5925524111874,1.327613129050079,210.84936992875612,4.169265531566499,0.7103378176689148
active_psfborrow_30cell,tutorial_v099,29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,176.17525287719747,2.712733043750854,301.7411770939388,7.32242699140509,0.7223257422447205
active_psfborrow_30cell,tutorial_v099,30,"[300,500)","[3.75,4.0)",891,536.9471529856024,354.05284701439757,60.726236057176244,5.830311081375804,293.3266109572213,7.7623888948896225,0.6642460227012634
active_psfborrow_30cell,tutorial_v099,39,"[500,800)","[3,3.25)",432,110.51010961433096,321.489890385669,246.2615084977417,1.3054816903658217,75.22838188792733,3.2298161568677886,0.590565025806427
active_psfborrow_30cell,tutorial_v099,40,"[500,800)","[3.25,3.5)",1155,360.0880298770054,794.9119701229946,618.9403418374693,1.284311130476828,175.9716282855253,4.520887699372993,0.590565025806427
active_psfborrow_30cell,tutorial_v099,41,"[500,800)","[3.5,3.75)",559,154.4964650825501,404.5035349174499,358.9824513101768,1.1268058743293299,45.521083607273056,1.7041847660853984,0.7030451893806458
active_psfborrow_30cell,tutorial_v099,42,"[500,800)","[3.75,4.0)",238,109.83451948073461,128.16548051926537,84.6949403700947,1.5132601777534267,43.470540149170674,2.3308197896377183,0.7524763941764832
active_psfborrow_30cell,tutorial_v099,43,"[500,800)","[4.0,4.25)",175,121.18543312390679,53.81456687609321,19.05200721512683,2.8246140298207396,34.762559660966375,2.0199001410884736,0.6689862012863159
active_psfborrow_30cell,tutorial_v099,52,"[800,1100)","[3.25,3.5)",174,22.37649626174378,151.6235037382562,142.4371836701912,1.0644938339228587,9.186320068065015,0.6555364114964499,0.715205192565918
active_psfborrow_30cell,tutorial_v099,53,"[800,1100)","[3.5,3.75)",280,50.460266367343735,229.53973363265627,208.27548446456396,1.1020967456768067,21.264249168092306,1.1697429281094152,0.6843349933624268
active_psfborrow_30cell,tutorial_v099,54,"[800,1100)","[3.75,4.0)",152,37.899577126808786,114.1004228731912,99.82435994350395,1.1430118153301143,14.276062929687257,1.035968272321579,0.7769456505775452
active_psfborrow_30cell,tutorial_v099,55,"[800,1100)","[4.0,4.25)",105,31.320230774983372,73.67976922501663,21.088798343186436,3.49378698710075,52.59097088183019,4.504338623210411,0.8465465307235718
active_psfborrow_30cell,tutorial_v099,65,"[1100,2000)","[3.5,3.75)",54,7.28742134727984,46.71257865272016,79.14553197304835,0.5902111905524537,-32.43295332032819,-4.142865391143756,0.7233335971832275
active_psfborrow_30cell,tutorial_v099,66,"[1100,2000)","[3.75,4.0)",131,14.748509627078077,116.25149037292192,107.05572652978631,1.0858969822653723,9.195763843135609,0.7617031442791419,0.7136972546577454
active_psfborrow_30cell,tutorial_v099,67,"[1100,2000)","[4.0,4.25)",93,12.890655576140784,80.10934442385921,64.76478274644138,1.2369275557905113,15.344561677417829,1.4911648870208327,0.7426062822341919
active_psfborrow_30cell,tutorial_v099,68,"[1100,2000)","[4.25,4.5)",44,16.286184165563817,27.713815834436183,25.092315093585675,1.1044742476361076,2.6215007408505073,0.337630045141877,0.8714531660079956
active_psfborrow_30cell,tutorial_v099,69,"[1100,2000)","[4.5,4.75)",46,17.126581818554335,28.873418181445665,4.980562496296699,5.797220334633792,23.892855685148966,3.0071973018761913,0.7991706728935242
active_psfborrow_30cell,tutorial_v099,81,"[2000,3000)","[4.5,4.75)",6,1.7318701009309354,4.268129899069065,5.796504307185936,0.7363282545616082,-1.5283744081168713,-0.5496515822626376,0.7595100998878479
active_psfborrow_30cell,tutorial_v099,82,"[2000,3000)","[4.75,5.0)",11,6.022163523135932,4.977836476864068,2.895733746970099,1.71902423075759,2.082102729893969,0.5046552253792622,0.8102084398269653
active_psfborrow_30cell,tutorial_v099,83,"[2000,3000)","[5,6)",21,10.785819420021896,10.214180579978104,1.0326909770365593,9.890839377031277,9.181489602941545,1.6285325406527147,0.7039083242416382
legacy_nominal_stagef31,official_pass5,2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,2334.4618805638493,1.636965138917826,1486.9708360517216,5.366882012505412,0.6565228700637817
legacy_nominal_stagef31,official_pass5,3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,375.02940232170016,2.2764534883852847,478.70758884058256,3.5611320292186948,0.6549341678619385
legacy_nominal_stagef31,official_pass5,4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,148.2929721617196,2.78316910405657,264.4314463074994,2.177938277672722,0.5925980806350708
legacy_nominal_stagef31,official_pass5,14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,1789.9261544256358,1.3670682995321368,657.0251497931151,4.821036230207478,0.64971524477005
legacy_nominal_stagef31,official_pass5,15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,684.5883506559871,2.049051933702552,718.168733045904,8.286489598919623,0.702869176864624
legacy_nominal_stagef31,official_pass5,16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,212.7113871138614,2.7801530958676777,378.65883429704843,5.228663288042571,0.6853578090667725
legacy_nominal_stagef31,official_pass5,17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,93.82926401251014,5.32791703470971,406.0852700740174,6.134466721660013,0.6527048945426941
legacy_nominal_stagef31,official_pass5,27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,1048.8023905673288,1.5033793504201889,527.9454660829231,7.820554297461672,0.6196183562278748
legacy_nominal_stagef31,official_pass5,28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,608.0046981650542,1.4053212498499303,246.43722417488937,4.872967961888915,0.7103378176689148
legacy_nominal_stagef31,official_pass5,29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,164.59855536807532,2.903527487847141,313.31787460306094,7.603361543091211,0.7223257422447205
legacy_nominal_stagef31,official_pass5,30,"[300,500)","[3.75,4.0)",891,536.9471529856024,354.05284701439757,56.19869028818857,6.300019541359486,297.854156726209,7.882202678179199,0.6642460227012634
legacy_nominal_stagef31,official_pass5,31,"[300,500)","[4.0,4.25)",538,406.91601937599114,131.08398062400886,28.92449376579772,4.531936900448416,102.15948685821114,3.323396031610776,0.6733294129371643
legacy_nominal_stagef31,official_pass5,40,"[500,800)","[3.25,3.5)",1155,360.0880298770054,794.9119701229946,583.698983953634,1.3618525849380925,211.21298616936065,5.426273544344105,0.590565025806427
legacy_nominal_stagef31,official_pass5,41,"[500,800)","[3.5,3.75)",559,154.4964650825501,404.5035349174499,334.73648332291054,1.208423805203322,69.76705159453934,2.6118874394086595,0.7030451893806458
legacy_nominal_stagef31,official_pass5,42,"[500,800)","[3.75,4.0)",238,109.83451948073461,128.16548051926537,78.38197754052695,1.635139665275709,49.783502978738426,2.669310607647132,0.7524763941764832
legacy_nominal_stagef31,official_pass5,43,"[500,800)","[4.0,4.25)",175,121.18543312390679,53.81456687609321,17.56341831773333,3.0640144135130023,36.25114855835988,2.1063955244317234,0.6689862012863159
legacy_nominal_stagef31,official_pass5,44,"[500,800)","[4.25,4.5)",74,67.14068054165396,6.859319458346036,6.84186190632381,1.0025515791258648,0.017457552022225542,0.0014694582155633867,0.6910998225212097
legacy_nominal_stagef31,official_pass5,53,"[800,1100)","[3.5,3.75)",280,50.460266367343735,229.53973363265627,192.8496696378216,1.1902521485452369,36.690063994834674,2.018314521739122,0.6843349933624268
legacy_nominal_stagef31,official_pass5,54,"[800,1100)","[3.75,4.0)",152,37.899577126808786,114.1004228731912,92.09200759510337,1.2389829025646961,22.00841527808784,1.597080376044264,0.7769456505775452
legacy_nominal_stagef31,official_pass5,55,"[800,1100)","[4.0,4.25)",105,31.320230774983372,73.67976922501663,19.434470877886223,3.791189875349483,54.2452983471304,4.646029315974633,0.8465465307235718
legacy_nominal_stagef31,official_pass5,56,"[800,1100)","[4.25,4.5)",41,24.016508436717544,16.983491563282456,2.5396447800029747,6.687349229707063,14.443846783279481,1.7913112416659964,0.625923752784729
legacy_nominal_stagef31,official_pass5,57,"[800,1100)","[4.5,4.75)",8,1.9691480882783847,6.030851911721616,0.7797151727675498,7.7346858472889375,5.251136738954066,1.6631227476607973,0.7004961967468262
