cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
37,"[500,800)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
38,"[500,800)","[2.5,3)",2071,877,1194,185,0.2781954887218045,43.47639258630079,0.0,0.0005513315613715434,1.5800000429153442,1.0,0.7129790186882019,39.826658132228175,,,0.0,788,5648,338.0,665,212,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,318.23945379995615,5642,65.45341161682269,0.247613313500627
39,"[500,800)","[3,3.25)",81334,34362,46972,7522,0.293587291674798,43.47639258630079,0.0,0.021652342449344813,1.5800000429153442,1.0,0.7129790186882019,1132.2334093153406,,,0.0,788,5648,12600.0,25621,8662,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,4891.525218789938,5642,65.03501135701714,1.3326048539669701
40,"[500,800)","[3.25,3.5)",234254,92890,141364,4971,0.07274030934020105,43.47639258630079,0.0,0.06236196213304178,0.3107539117336273,0.19667969644069672,0.590565025806427,163.10505120560885,,,0.0,32,3760,22587.0,68339,24268,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4846.740947088732,3754,23.58113264143053,1.2755952013461294
41,"[500,800)","[3.5,3.75)",138550,48711,89839,2540,0.07173520108450068,43.47639258630079,0.0,0.036884108077270564,0.32525408267974854,0.2058570235967636,0.7030451893806458,68.55288007359465,,,0.0,32,3760,11671.0,35408,13114,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3999.587991983805,3754,23.431551883924236,1.3790566164335207
42,"[500,800)","[3.75,4.0)",44731,13386,31345,670,0.06958147263474919,43.47639258630079,0.0,0.011908069566253263,0.5331345796585083,0.33742696046829224,0.7524763941764832,57.59786948823117,,,0.0,88,3760,3231.0,9629,3674,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1805.353870066694,3754,23.31038872147799,0.9450222872452457
43,"[500,800)","[4.0,4.25)",12953,3599,9354,314,0.1208156983455175,43.47639258630079,0.0,0.003448284748645872,0.974081814289093,0.6165074706077576,0.6689862012863159,69.267699996622,,,0.0,300,4400,1001.0,2599,941,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,814.507365581982,4394,34.09862253154225,0.47530955937417724
44,"[500,800)","[4.25,4.5)",3241,1005,2236,149,0.20781032078103207,43.47639258630079,0.0,0.0008628032788050083,1.18329656124115,0.7489218711853027,0.6910998225212097,31.37156977285825,,,0.0,440,5032,320.0,717,241,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,300.9328483496688,5026,47.83254472426842,0.2535566898348768
45,"[500,800)","[4.5,4.75)",1194,356,838,57,0.24782608695652175,43.47639258630079,0.0,0.00031786088086799746,1.3993562459945679,0.8856685161590576,0.6936807632446289,6.317438891588575,,,0.0,616,5032,99.0,230,99,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,96.94280634962351,5026,47.818772842739314,0.14296127166222566
46,"[500,800)","[4.75,5.0)",488,131,357,22,0.2558139534883721,43.47639258630079,0.0,0.00012991298983549646,1.5490642786026,0.9804204106330872,0.6524077653884888,13.321340399261825,,,0.0,740,5648,52.0,86,39,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,51.4724423724569,5642,65.46315528356043,0.09546409152831946
47,"[500,800)","[5,6)",280,67,213,15,0.375,43.47639258630079,0.0,7.454024006954716e-05,1.8611623048782349,1.1779508590698242,0.5099676847457886,7.385267350278369,,,0.0,1092,6280,24.0,40,17,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,23.87294405985372,6274,87.07609750157623,0.06165538731914875
48,"[500,800)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
49,"[800,1100)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
50,"[800,1100)","[2.5,3)",1,0,1,0,0.0,43.47639258630079,0.0,2.6621514310552556e-07,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
51,"[800,1100)","[3,3.25)",1165,496,669,115,0.3108108108108108,43.47639258630079,0.0,0.00031014064171793723,1.5800000429153442,1.0,0.7129790186882019,26.95198244419998,,,0.0,788,5648,185.0,370,124,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,178.30911511169919,5642,65.46019470814291,0.1786329831922963
52,"[800,1100)","[3.25,3.5)",25676,10619,15057,2311,0.2918666329881283,43.47639258630079,0.0,0.006835340014377474,1.5800000429153442,1.0,0.7129790186882019,417.03386022311474,,,0.0,788,5648,3888.0,7918,2670,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,2374.4249626782434,5642,65.37228646326993,0.8489094298616985
53,"[800,1100)","[3.5,3.75)",60152,23745,36407,1301,0.07445347373240242,43.47639258630079,0.0,0.016013373288083572,0.2622322738170624,0.16596980392932892,0.6843349933624268,25.74712842447915,,,0.0,24,3760,5805.0,17474,6201,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,2632.8827868622748,3754,23.399248900191488,1.2730300822953267
54,"[800,1100)","[3.75,4.0)",37057,13462,23595,682,0.06893763266956433,43.47639258630079,0.0,0.00986513455806146,0.29693174362182617,0.18793147802352905,0.7769456505775452,20.911606170638283,,,0.0,32,3760,3239.0,9893,3526,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1809.0940704969144,3754,23.325435735460083,0.9490969276511401
55,"[800,1100)","[4.0,4.25)",11854,3841,8013,203,0.07178217821782178,43.47639258630079,0.0,0.0031557143063728997,0.5141045451164246,0.32538262009620667,0.8465465307235718,15.953063395089217,,,0.0,80,3760,936.0,2828,999,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,746.0330973395426,3754,23.27599628369526,0.4932651868249059
56,"[800,1100)","[4.25,4.5)",2781,758,2023,71,0.1254416961130742,43.47639258630079,0.0,0.0007403443129764665,0.986194372177124,0.624173641204834,0.625923752784729,12.601787186634734,,,0.0,308,4400,225.0,566,184,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,213.8976050326488,4394,34.08596913408381,0.22912907442243022
57,"[800,1100)","[4.5,4.75)",491,115,376,10,0.11494252873563218,43.47639258630079,0.0,0.00013071163526481305,1.2344653606414795,0.7813071608543396,0.7004961967468262,4.428936647858996,,,0.0,468,5032,39.0,87,28,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,38.664813894583446,5026,47.810717554958025,0.08765721045657628
58,"[800,1100)","[4.75,5.0)",76,11,65,2,0.4,43.47639258630079,0.0,2.023235087601994e-05,1.4706326723098755,0.9307801723480225,0.6651483774185181,1.1183281191896863,,,0.0,680,5648,3.0,5,6,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,2.9936533888067682,5642,65.46315528356043,0.02302060701054826
59,"[800,1100)","[5,6)",21,6,15,1,0.3333333333333333,43.47639258630079,0.0,5.590518005216036e-06,1.7527832984924316,1.1093565225601196,0.5799309611320496,1.2832514299554028,,,0.0,960,6280,2.0,3,2,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,1.9974239664935451,6274,87.07609750157623,0.017833200960402137
60,"[800,1100)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
61,"[1100,2000)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
62,"[1100,2000)","[2.5,3)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
63,"[1100,2000)","[3,3.25)",5,2,3,0,0.0,43.47639258630079,0.0,1.3310757155276276e-06,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,1.0,1,1,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.9985661243965575,5642,65.46315528356043,0.013295555410827433
64,"[1100,2000)","[3.25,3.5)",760,315,445,60,0.2542372881355932,43.47639258630079,0.0,0.0002023235087601994,1.5800000429153442,1.0,0.7129790186882019,13.361872335733784,,,0.0,788,5648,114.0,236,79,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,111.68491792471691,5642,65.46131467299475,0.14185010645401414
65,"[1100,2000)","[3.5,3.75)",10508,4286,6222,925,0.2917981072555205,43.47639258630079,0.0,0.0027973887237528624,1.5800000429153442,1.0,0.7129790186882019,185.7954442966319,,,0.0,788,5648,1559.0,3170,1108,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,1222.163278798093,5642,65.48017182625675,0.5276694073418158
66,"[1100,2000)","[3.75,4.0)",25167,10000,15167,526,0.07152570029915692,43.47639258630079,0.0,0.006699836506536761,0.2172287553548813,0.1374865472316742,0.7136972546577454,7.9857417879792925,,,0.0,16,3760,2410.0,7354,2620,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1495.4084929847882,3754,23.334396579239666,0.8007030443717758
67,"[1100,2000)","[4.0,4.25)",23007,8758,14249,457,0.07101787101787102,43.47639258630079,0.0,0.006124811797428826,0.23240472376346588,0.1470915973186493,0.7426062822341919,7.3497660762566595,,,0.0,16,3760,2151.0,6435,2299,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1409.197493644473,3754,23.279381584442365,0.7737568750406253
68,"[1100,2000)","[4.25,4.5)",12639,4510,8129,188,0.056338028169014086,43.47639258630079,0.0,0.0033646931937107373,0.29243433475494385,0.1850850135087967,0.8714531660079956,9.481209571162136,,,0.0,32,3760,1215.0,3337,1158,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,911.1696254484809,3754,23.320373036198216,0.5605051015609072
69,"[1100,2000)","[4.5,4.75)",5144,1723,3421,89,0.06958561376075059,43.47639258630079,0.0,0.0013694106961348233,0.5586923360824585,0.35360273718833923,0.7991706728935242,11.307642966298252,,,0.0,96,3760,440.0,1279,440,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,394.5102173987052,3754,23.311938547021313,0.34448448781233393
70,"[1100,2000)","[4.75,5.0)",1964,661,1303,145,0.2854330708661417,43.47639258630079,0.0,0.0005228465410592522,1.5800000429153442,1.0,0.7129790186882019,30.88631704474441,,,0.0,788,5648,241.0,508,153,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,231.2089957701362,5642,65.46512576015608,0.20730337023693232
71,"[1100,2000)","[5,6)",803,242,561,43,0.25,43.47639258630079,0.0,0.000213770759913737,1.5800000429153442,1.0,0.7129790186882019,24.419902294209777,,,0.0,788,5648,97.0,172,69,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,95.25977060163109,5642,65.46311856264691,0.13119471990466952
72,"[1100,2000)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
73,"[2000,3000)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
74,"[2000,3000)","[2.5,3)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
75,"[2000,3000)","[3,3.25)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
