selector,containment_mode,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on,expected_over_all_direction_c1
active30,nominal_containment,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,8.785939840552071,1.8727548240338696,1.7636611631985994,0.7673495302037404
active30,containment_1,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,11.44972335907901,1.4370575344091783,1.7636611631985994,1.0
active30,aperture_response_containment_1,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,9.11182379264999,1.805775835276548,1.7636611631985994,0.795811698404469
drop4,nominal_containment,all,26,100579.0,85476.10100347275,15102.898996527238,10431.965987298452,1.4477519400385246,1.1766914824052823,0.64692808879537
drop4,containment_1,all,26,100579.0,85476.10100347275,15102.898996527238,16125.387300346747,0.9365913956189119,1.1766914824052823,1.0
drop4,aperture_response_containment_1,all,26,100579.0,85476.10100347275,15102.898996527238,12787.171174598647,1.181097741659134,1.1766914824052823,0.7929838171591501
drop4,nominal_containment,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,3536.1071300842814,1.5359581223313545,1.0827846960042342,0.6306120664999589
drop4,containment_1,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,5607.420659916142,0.9685937255807723,1.0827846960042342,1.0
drop4,aperture_response_containment_1,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,4379.20169500293,1.2402517276343752,1.0827846960042342,0.7809654314517613
drop4,nominal_containment,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,2687.225892195484,1.5160229878514457,1.2949725302782857,0.6652708462832155
drop4,containment_1,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,4039.296035905792,1.0085658961127404,1.2949725302782857,1.0
drop4,aperture_response_containment_1,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,3280.444446751083,1.2418732559707597,1.2949725302782857,0.812132712628838
drop4,nominal_containment,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,2506.7238217863387,1.4302434292841522,1.716933969714126,0.6366077879144397
drop4,containment_1,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3937.6266979053094,0.9105041056957466,1.716933969714126,1.0
drop4,aperture_response_containment_1,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3124.833953150042,1.1473330515772917,1.716933969714126,0.7935830877041627
drop4,nominal_containment,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,996.8174448170714,1.2048914442932768,2.5993977014875167,0.6354567814836765
drop4,containment_1,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,1568.6628483052511,0.765656439227824,2.5993977014875167,1.0
drop4,aperture_response_containment_1,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,1232.197856794305,0.9747272356949663,2.5993977014875167,0.7855084080849779
drop4,nominal_containment,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,437.4865444423602,1.1737851808035187,3.6002774978573875,0.7178864646923739
drop4,containment_1,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,609.4091001281523,0.8426444937553369,3.6002774978573875,1.0
drop4,aperture_response_containment_1,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,486.78220804459943,1.054917813718314,3.6002774978573875,0.7987773860650165
drop4,nominal_containment,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,258.81921413236535,1.087396403919149,4.251341269624606,0.736281203548119
drop4,containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,351.52223482702345,0.8006295330114875,4.251341269624606,1.0
drop4,aperture_response_containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606,0.7811716126525108
drop4,nominal_containment,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,8.785939840552071,1.8727548240338696,1.7636611631985994,0.7673495302037404
drop4,containment_1,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,11.44972335907901,1.4370575344091783,1.7636611631985994,1.0
drop4,aperture_response_containment_1,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,9.11182379264999,1.805775835276548,1.7636611631985994,0.795811698404469
