source_file_id,status,yyyymm,relative_path,obs_path,time_path,event_entries,time_entries,common_entries,entry_mismatch,selected_rows,parquet_relative_path,matched_mjd_min,matched_mjd_max,matched_mjd_start_utc_yyyymm,matched_mjd_end_utc_yyyymm,matched_span_seconds,matched_gap_count,matched_gap_seconds,rough_live_time_seconds,selected_mjd_min,selected_mjd_max
787,processed,202202,0206/Esg20220206_19.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_19.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_19.time.root,76449,76449,76449,False,51331,obs_events/yyyymm=202202/part-000787.parquet,59616.4584313,59616.4998742,202202,202202,3580.67273588,4,330.084359273,3250.58837661,59616.4584313,59616.4998742
788,processed,202202,0206/Esg20220206_20.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_20.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_20.time.root,173154,173154,173154,False,114661,obs_events/yyyymm=202202/part-000788.parquet,59616.500315,59616.5416407,202202,202202,3570.53893134,2,164.49508192,3406.04384942,59616.5003151,59616.5416407
789,processed,202202,0206/Esg20220206_21.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_21.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_21.time.root,333259,333259,333259,False,208292,obs_events/yyyymm=202202/part-000789.parquet,59616.5420729,59616.583251,202202,202202,3557.7884058,2,161.552187754,3396.23621805,59616.5420729,59616.583251
790,processed,202202,0206/Esg20220206_22.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_22.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_22.time.root,258160,258160,258160,False,165874,obs_events/yyyymm=202202/part-000790.parquet,59616.5836683,59616.6245189,202202,202202,3529.49008187,2,163.628336345,3365.86174553,59616.5836683,59616.6245187
791,processed,202202,0206/Esg20220206_23.root,/mnt/mydisk/WCDA_observation_eval/0206/Esg20220206_23.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0206/Esg20220206_23.time.root,119504,119504,119504,False,81147,obs_events/yyyymm=202202/part-000791.parquet,59616.6249542,59616.6664978,202202,202202,3589.3729609,4,334.682097612,3254.69086329,59616.6249542,59616.6664978
792,processed,202202,0207/Esg20220207_00.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_00.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_00.time.root,86267,86267,86267,False,59037,obs_events/yyyymm=202202/part-000792.parquet,59616.6669481,59616.7082021,202202,202202,3564.33764419,3,297.130954731,3267.20668946,59616.6669482,59616.7082021
793,processed,202202,0207/Esg20220207_01.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_01.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_01.time.root,115061,115061,115061,False,78047,obs_events/yyyymm=202202/part-000793.parquet,59616.7086627,59616.7499686,202202,202202,3568.82800029,3,253.579653287,3315.248347,59616.7086628,59616.7499686
794,processed,202202,0207/Esg20220207_02.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_02.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_02.time.root,228268,228268,228268,False,148404,obs_events/yyyymm=202202/part-000794.parquet,59616.7499953,59616.7912985,202202,202202,3568.60111244,5,417.027742672,3151.57336977,59616.7499953,59616.7912984
795,processed,202202,0207/Esg20220207_03.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_03.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_03.time.root,287089,287089,287089,False,182996,obs_events/yyyymm=202202/part-000795.parquet,59616.791704,59616.8330735,202202,202202,3574.32774541,3,247.741628601,3326.5861168,59616.791704,59616.8330735
796,processed,202202,0207/Esg20220207_04.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_04.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_04.time.root,170360,170360,170360,False,113753,obs_events/yyyymm=202202/part-000796.parquet,59616.8334757,59616.8746764,202202,202202,3559.73540414,3,250.273051579,3309.46235256,59616.8334757,59616.8746764
797,processed,202202,0207/Esg20220207_05.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_05.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_05.time.root,86317,86317,86317,False,58598,obs_events/yyyymm=202202/part-000797.parquet,59616.8751026,59616.9162693,202202,202202,3556.8094739,1,84.1346868547,3472.67478704,59616.8751026,59616.9162693
798,processed,202202,0207/Esg20220207_06.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_06.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_06.time.root,44530,44530,44530,False,30309,obs_events/yyyymm=202202/part-000798.parquet,59616.9167014,59616.9578831,202202,202202,3558.09352761,2,169.955032691,3388.13849492,59616.9167014,59616.9578831
799,processed,202202,0207/Esg20220207_07.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_07.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_07.time.root,26999,26999,26999,False,17925,obs_events/yyyymm=202202/part-000799.parquet,59616.9583185,59616.9995627,202202,202202,3563.4961644,5,427.584517538,3135.91164686,59616.9583185,59616.9995624
800,processed,202202,0207/Esg20220207_08.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_08.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_08.time.root,24370,24370,24370,False,16173,obs_events/yyyymm=202202/part-000800.parquet,59616.9999935,59617.0414664,202202,202202,3583.25306601,4,343.384827138,3239.86823887,59616.9999935,59617.0414662
801,processed,202202,0207/Esg20220207_09.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_09.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_09.time.root,913,913,913,False,620,obs_events/yyyymm=202202/part-000801.parquet,59617.0419083,59617.0647483,202202,202202,1973.37075127,1,1924.94529225,48.4254590236,59617.0419084,59617.0647483
