scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,0,57,"[1100,2000)","[4.25,4.5)",29
file,202201,0,58,"[1100,2000)","[4.5,4.75)",7
file,202201,0,59,"[1100,2000)","[4.75,5.0)",1
file,202201,0,60,"[1100,2000)",>=5,3
file,202201,0,61,"[2000,3000)","[4.0,4.25)",0
file,202201,0,62,"[2000,3000)","[4.25,4.5)",5
file,202201,0,63,"[2000,3000)","[4.5,4.75)",10
file,202201,0,64,"[2000,3000)","[4.75,5.0)",34
file,202201,0,65,"[2000,3000)",>=5,30
file,202201,1,1,"[30,60)","[2,3)",17735
file,202201,1,2,"[60,100)","[2,3)",29281
file,202201,1,3,"[60,100)","[3,3.25)",1273
file,202201,1,4,"[60,100)","[3.25,3.5)",642
file,202201,1,5,"[60,100)","[3.5,3.75)",315
file,202201,1,6,"[60,100)","[3.75,4.0)",173
file,202201,1,7,"[100,200)","[2,3)",33458
file,202201,1,8,"[100,200)","[3,3.25)",3475
file,202201,1,9,"[100,200)","[3.25,3.5)",1487
file,202201,1,10,"[100,200)","[3.5,3.75)",772
file,202201,1,11,"[100,200)","[3.75,4.0)",337
file,202201,1,12,"[100,200)","[4.0,4.25)",150
file,202201,1,13,"[100,200)","[4.25,4.5)",53
file,202201,1,14,"[100,200)","[4.5,4.75)",29
file,202201,1,15,"[100,200)","[4.75,5.0)",9
file,202201,1,16,"[100,200)",>=5,9
file,202201,1,17,"[200,300)","[2,3)",5176
file,202201,1,18,"[200,300)","[3,3.25)",2171
file,202201,1,19,"[200,300)","[3.25,3.5)",728
file,202201,1,20,"[200,300)","[3.5,3.75)",354
file,202201,1,21,"[200,300)","[3.75,4.0)",213
file,202201,1,22,"[200,300)","[4.0,4.25)",99
file,202201,1,23,"[200,300)","[4.25,4.5)",27
file,202201,1,24,"[200,300)","[4.5,4.75)",11
file,202201,1,25,"[200,300)","[4.75,5.0)",4
file,202201,1,26,"[200,300)",>=5,0
file,202201,1,27,"[300,500)","[2,3)",987
file,202201,1,28,"[300,500)","[3,3.25)",1838
file,202201,1,29,"[300,500)","[3.25,3.5)",1080
file,202201,1,30,"[300,500)","[3.5,3.75)",286
file,202201,1,31,"[300,500)","[3.75,4.0)",145
file,202201,1,32,"[300,500)","[4.0,4.25)",70
file,202201,1,33,"[300,500)","[4.25,4.5)",20
file,202201,1,34,"[300,500)","[4.5,4.75)",16
file,202201,1,35,"[300,500)","[4.75,5.0)",3
file,202201,1,36,"[300,500)",>=5,1
file,202201,1,37,"[500,800)","[3,3.25)",212
file,202201,1,38,"[500,800)","[3.25,3.5)",762
file,202201,1,39,"[500,800)","[3.5,3.75)",382
file,202201,1,40,"[500,800)","[3.75,4.0)",68
file,202201,1,41,"[500,800)","[4.0,4.25)",35
file,202201,1,42,"[500,800)","[4.25,4.5)",11
file,202201,1,43,"[500,800)","[4.5,4.75)",1
file,202201,1,44,"[500,800)","[4.75,5.0)",2
file,202201,1,45,"[500,800)",>=5,0
file,202201,1,46,"[800,1100)","[3.25,3.5)",74
file,202201,1,47,"[800,1100)","[3.5,3.75)",182
file,202201,1,48,"[800,1100)","[3.75,4.0)",84
file,202201,1,49,"[800,1100)","[4.0,4.25)",23
file,202201,1,50,"[800,1100)","[4.25,4.5)",7
file,202201,1,51,"[800,1100)","[4.5,4.75)",1
file,202201,1,52,"[800,1100)","[4.75,5.0)",0
file,202201,1,53,"[800,1100)",>=5,0
file,202201,1,54,"[1100,2000)","[3.5,3.75)",39
file,202201,1,55,"[1100,2000)","[3.75,4.0)",75
file,202201,1,56,"[1100,2000)","[4.0,4.25)",80
file,202201,1,57,"[1100,2000)","[4.25,4.5)",29
file,202201,1,58,"[1100,2000)","[4.5,4.75)",16
