scope,yyyymm,source_file_id,step,count
file,202201,82,after_pincness,10234
file,202201,82,after_fitstat,10234
file,202201,82,after_theta,10234
file,202201,82,after_dcedge,7276
file,202201,82,after_finite,7276
file,202201,82,after_cell_selection,6787
file,202201,83,input_entries,24891
file,202201,83,after_match_status,24891
file,202201,83,after_pincness,24891
file,202201,83,after_fitstat,24891
file,202201,83,after_theta,24891
file,202201,83,after_dcedge,17804
file,202201,83,after_finite,17804
file,202201,83,after_cell_selection,16544
file,202201,84,input_entries,25078
file,202201,84,after_match_status,25078
file,202201,84,after_pincness,25078
file,202201,84,after_fitstat,25078
file,202201,84,after_theta,25078
file,202201,84,after_dcedge,17862
file,202201,84,after_finite,17862
file,202201,84,after_cell_selection,16602
file,202201,85,input_entries,24595
file,202201,85,after_match_status,24595
file,202201,85,after_pincness,24595
file,202201,85,after_fitstat,24595
file,202201,85,after_theta,24595
file,202201,85,after_dcedge,17587
file,202201,85,after_finite,17587
file,202201,85,after_cell_selection,16320
file,202201,86,input_entries,32450
file,202201,86,after_match_status,32450
file,202201,86,after_pincness,32450
file,202201,86,after_fitstat,32450
file,202201,86,after_theta,32450
file,202201,86,after_dcedge,23208
file,202201,86,after_finite,23208
file,202201,86,after_cell_selection,21735
file,202201,87,input_entries,64045
file,202201,87,after_match_status,64045
file,202201,87,after_pincness,64045
file,202201,87,after_fitstat,64045
file,202201,87,after_theta,64045
file,202201,87,after_dcedge,45561
file,202201,87,after_finite,45561
file,202201,87,after_cell_selection,43499
file,202201,88,input_entries,140994
file,202201,88,after_match_status,140994
file,202201,88,after_pincness,140994
file,202201,88,after_fitstat,140994
file,202201,88,after_theta,140994
file,202201,88,after_dcedge,100479
file,202201,88,after_finite,100479
file,202201,88,after_cell_selection,94803
file,202201,89,input_entries,311730
file,202201,89,after_match_status,311730
file,202201,89,after_pincness,311730
file,202201,89,after_fitstat,311730
file,202201,89,after_theta,311730
file,202201,89,after_dcedge,223050
file,202201,89,after_finite,223050
file,202201,89,after_cell_selection,197441
file,202201,90,input_entries,288170
file,202201,90,after_match_status,288170
file,202201,90,after_pincness,288170
file,202201,90,after_fitstat,288170
file,202201,90,after_theta,288170
file,202201,90,after_dcedge,207267
file,202201,90,after_finite,207267
file,202201,90,after_cell_selection,184825
file,202201,91,input_entries,131826
file,202201,91,after_match_status,131826
