cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
41,"[500,800)","[3.5,3.75)",280350,97387,182963,5017,0.07091166077738516,43.47639258630079,0.0,0.07463341536963408,0.32525408267974854,0.2058570235967636,0.7030451893806458,154.4964650825501,,,0.0,32,3760,23237.0,70750,26244,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4922.474679750889,3754,23.31387761876132,1.2830720495468735
42,"[500,800)","[3.75,4.0)",90323,26650,63673,1335,0.06942999791970043,43.47639258630079,0.0,0.02404535037072038,0.5331345796585083,0.33742696046829224,0.7524763941764832,109.83451948073461,,,0.0,88,3760,6540.0,19228,7253,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,2780.2677737997415,3754,23.42788986884976,1.2894124856195128
43,"[500,800)","[4.0,4.25)",26383,7206,19177,628,0.12021439509954059,43.47639258630079,0.0,0.00702355412055308,0.974081814289093,0.6165074706077576,0.6689862012863159,121.18543312390679,,,0.0,300,4400,2036.0,5224,1874,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,1402.8695808083892,4394,34.11466565576039,0.6792653297157744
44,"[500,800)","[4.25,4.5)",6543,2019,4524,261,0.18536931818181818,43.47639258630079,0.0,0.0017418456813394535,1.18329656124115,0.7489218711853027,0.6910998225212097,67.14068054165396,,,0.0,440,5032,649.0,1408,512,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,572.8114133705076,5026,47.839120754013265,0.3546672981426535
45,"[500,800)","[4.5,4.75)",2484,741,1743,130,0.26804123711340205,43.47639258630079,0.0,0.0006612784154741254,1.3993562459945679,0.8856685161590576,0.6936807632446289,25.153487848449448,,,0.0,616,5032,210.0,485,199,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,201.3548362791041,5026,47.82130478471946,0.20751690078404178
46,"[500,800)","[4.75,5.0)",1025,302,723,57,0.296875,43.47639258630079,0.0,0.00027287052168316366,1.5490642786026,0.9804204106330872,0.6524077653884888,21.598778611504176,,,0.0,740,5648,101.0,192,90,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,99.08612180741582,5642,65.47131274818842,0.13375292740135564
47,"[500,800)","[5,6)",568,149,419,32,0.3950617283950617,43.47639258630079,0.0,0.0001512102012839385,1.8611623048782349,1.1779508590698242,0.5099676847457886,11.160959006370534,,,0.0,1092,6280,44.0,81,43,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,43.596884024906984,6274,87.07609750157623,0.08331898707060131
48,"[500,800)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
49,"[800,1100)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
50,"[800,1100)","[2.5,3)",4,0,4,0,0.0,43.47639258630079,0.0,1.0648605724221022e-06,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
