cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
48,"[500,800)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
49,"[800,1100)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
50,"[800,1100)","[2.5,3)",3,0,3,0,0.0,43.47639258630079,0.0,7.986454293165766e-07,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
51,"[800,1100)","[3,3.25)",1201,496,705,111,0.2868217054263566,43.47639258630079,0.0,0.0003197243868697362,1.5800000429153442,1.0,0.7129790186882019,17.04437372127316,,,0.0,788,5648,192.0,387,109,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,184.94336030701447,5642,65.45810248387716,0.18377477569679188
52,"[800,1100)","[3.25,3.5)",27310,10865,16445,2269,0.283731399274728,43.47639258630079,0.0,0.007270335558211902,1.5800000429153442,1.0,0.7129790186882019,436.82634086565173,,,0.0,788,5648,3943.0,7997,2834,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,2391.614895292295,5642,65.67971630871705,0.8511650291421625
53,"[800,1100)","[3.5,3.75)",62504,24085,38419,1303,0.0735742518351214,43.47639258630079,0.0,0.01663951130466777,0.2622322738170624,0.16596980392932892,0.6843349933624268,25.5246393064423,,,0.0,24,3760,5870.0,17710,6297,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,2685.2596903387657,3754,23.206847933542573,1.2973932139262214
54,"[800,1100)","[3.75,4.0)",37374,13272,24102,680,0.07036423841059603,43.47639258630079,0.0,0.009949524758425912,0.29693174362182617,0.18793147802352905,0.7769456505775452,20.619342426054367,,,0.0,32,3760,3213.0,9664,3569,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1807.869829120019,3754,23.299881437013344,0.9520946796504735
55,"[800,1100)","[4.0,4.25)",11702,3704,7998,210,0.07695126419934042,43.47639258630079,0.0,0.00311524960462086,0.5141045451164246,0.32538262009620667,0.8465465307235718,18.104374983805602,,,0.0,80,3760,921.0,2729,961,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,740.675554037265,3754,23.295221714693803,0.49438530965586597
56,"[800,1100)","[4.25,4.5)",2741,727,2014,70,0.12867647058823528,43.47639258630079,0.0,0.0007296957072522455,0.986194372177124,0.624173641204834,0.625923752784729,11.470697882589743,,,0.0,308,4400,202.0,544,182,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,193.11874701527563,4394,34.090227805105535,0.21564594957870006
57,"[800,1100)","[4.5,4.75)",427,122,305,16,0.1839080459770115,43.47639258630079,0.0,0.0001136738661060594,1.2344653606414795,0.7813071608543396,0.7004961967468262,0.0,,,0.0,468,5032,40.0,87,34,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,39.564262068632075,5026,47.810717554958025,0.08867086438032502
