cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning,psf_quality_flag,warnings
26,"[200,300)",>=5,9026,24457,24455,23794,23285,662074.7817468643,5621.570044936209,5765,1803.459693456041,0.3128842065075146,0.6871157934924854,0.0,1.4396011750651607,1.4249256019835526,1.447076191116184,4.005430535897534,2.2745698566029544,0.19602903923071907,5.599591533428809,8.538384262798363,10.188526396665265,True,False,warning,[]
27,"[300,500)","[2,3)",9996,80409,79938,79924,67215,33061244.401773736,807.0969832527293,66610,3792.9865705912885,0.7814908662320666,0.21850913376793335,0.020829609891627538,0.266860316403412,0.24953838840387343,0.24940444847640686,14.682628993465583,0.421639299917391,0.5843270129905965,0.5247379585088374,43.05884040788799,52.019402943983664,True,False,warning,[]
28,"[300,500)","[3,3.25)",10000,151506,149416,149370,137085,57652938.92592143,4796.24503426343,134356,15669.358988859383,0.8351318832622502,0.16486811673774981,0.0,0.2506925644004648,0.23727332210184637,0.2368408697706515,13.751768824053073,0.3960942517527343,0.6196183744876244,0.4464733044577372,42.43579147868897,53.36947012984908,False,False,ok,[]
29,"[300,500)","[3.25,3.5)",10000,112141,109549,109489,106570,40027315.04636859,11407.744140751092,103421,15861.435675403605,0.9149429523042844,0.08505704769571565,0.0,0.2630475256256551,0.24395920978013097,0.24376375251977217,9.426443949120632,0.41561509048853507,0.7103378415602245,0.39468575094079306,0.8537484158190003,35.14042168962255,False,False,ok,[]
30,"[300,500)","[3.5,3.75)",9881,46983,45651,45615,45173,15574731.235473633,10705.438977583095,43401,11041.473153644009,0.8767155050460388,0.12328449495396121,0.0,0.4099663378372054,0.284940855462373,0.28582003382576565,9.251575293079718,0.6477468137827845,0.7223257577318322,0.5592714997406719,21.34994304143617,38.27043999541085,False,False,ok,[]
31,"[300,500)","[3.75,4.0)",8738,20906,20237,20181,19752,6152456.981354713,8443.19975964649,18873,8242.36651367582,0.8937891014638026,0.10621089853619736,0.0,0.6266281049504723,0.43838289575100525,0.44677884780701277,9.388499297036203,0.9900724058217462,0.6642460197654501,1.0288724989950395,5.4401164358196015,38.14873678298582,False,False,ok,[]
32,"[300,500)","[4.0,4.25)",7370,13417,13167,13094,12654,2993186.221405983,7809.321190273408,12147,7841.398697335993,0.9236817935211599,0.07631820647884013,0.0,0.7935617844410522,0.7038442634649235,0.715563326398548,7.20647850956403,1.2538276194168625,0.6733294402250637,1.270650806559935,2.452405134781049,6.221575079828984,False,False,ok,[]
33,"[300,500)","[4.25,4.5)",6796,11186,11067,11034,10699,1935075.715891838,6116.161537736407,10098,6344.893997669095,0.90039732329825,0.09960267670175005,0.0,0.9151206146242019,0.8919774527064844,0.8958949281980647,6.955799689706319,1.445890571106239,0.6463560319490963,1.5440718253190382,2.9893915117530643,4.942394052090325,False,False,ok,[]
34,"[300,500)","[4.5,4.75)",6278,10057,10026,9972,9731,1275358.5352220535,4610.505212311737,8940,4437.000782058914,0.8817165510070699,0.11828344899293008,0.0,1.0422564072586769,1.000322309457284,1.0039174289733732,4.205993818446792,1.6467651234687095,0.6165552428879433,1.86595905772011,3.207047175562749,4.185934547326162,False,False,ok,[]
35,"[300,500)","[4.75,5.0)",5654,8426,8419,8323,8099,766810.0389614105,3890.2882254975993,6816,3417.846422691672,0.8006000043860476,0.19939999561395239,0.0,1.157105053896875,1.1175404804278484,1.119731050033719,2.355166935885606,1.8282259851570624,0.5390918517900926,2.3263978255372617,3.9900205863120806,4.968276200250443,True,False,warning,[]
36,"[300,500)",>=5,9622,35209,35209,34445,33748,945714.5038566589,8208.419336597919,14208,4260.206629697244,0.5227732785396167,0.47722672146038325,0.0,1.3201543946781678,1.3165102210511053,1.361582202444352,2.8891706570778246,2.085843943591505,0.33565468830289924,4.032530618764501,6.444741481123419,7.685288188913988,True,False,warning,[]
37,"[500,800)","[3,3.25)",9340,27769,27733,27732,22902,9143274.883675503,214.36068962996794,22846,585.2044697041707,0.834391791478958,0.16560820852104197,0.12449022698100638,0.21587683748556907,0.18915044069347714,0.18887362448654613,13.058686229403227,0.34108540322719916,0.6288517147681452,0.3763504193102148,37.90913215725009,51.88718146827931,False,False,warning,"['theta_support_warning:Cell 37 is missing Crab theta support mass 0.1245, above --theta-missing-mass-fail-threshold=0.1']"
38,"[500,800)","[3.25,3.5)",10000,89513,89007,88998,81229,31914320.715462685,740.4660309063212,80614,7463.49485073808,0.8023279087945407,0.19767209120545925,0.0,0.19667968990530443,0.18607003403981984,0.18586369443684247,13.698130423495186,0.310753910050381,0.5905650475161462,0.373915031643206,40.619807876794944,50.74142510828612,True,False,warning,[]
39,"[500,800)","[3.5,3.75)",9987,68604,67868,67855,65877,22783726.846223835,2505.229096623255,64964,5438.590294309848,0.9240574826170272,0.07594251738297275,0.0,0.2058570232365415,0.19409238512063764,0.19358557232794898,10.01595535198334,0.3252540967137356,0.703045207609005,0.31295713895283106,0.5386852432157876,37.10074942538234,False,False,ok,[]
40,"[500,800)","[3.75,4.0)",9288,26703,26014,25987,25748,8006853.4477329245,4809.241979942971,24818,5104.414183661933,0.8590250698869538,0.14097493011304618,0.0,0.3374269585402776,0.2232460752253421,0.22547639949385445,9.18495112765726,0.5331345944936386,0.7524763944030628,0.40821590135055347,22.84176650076658,36.122352899179006,False,False,ok,[]
