selector,spectrum,cell_id,nhit_bin,predE_bin,excess,official_expected_counts,observed_over_expected,excess_minus_expected,pull_conservative
loose36,official_pass5,41,"[500,800)","[3.5,3.75)",363.4486411893382,372.2167098277472,0.9764436458468868,-8.768068638408977,-0.31919754182614946
loose36,official_pass5,42,"[500,800)","[3.75,4.0)",79.48698952925884,91.54534040940139,0.8682800148405565,-12.058350880142555,-0.6055628106117587
loose36,official_pass5,43,"[500,800)","[4.0,4.25)",30.061853417583478,21.494918378014358,1.3985562954419792,8.56693503956912,0.4789525187479168
loose36,official_pass5,47,"[500,800)","[5,6)",-1.046840580748274,2.148090765645777,-0.4873353572811268,-3.1949313463940507,-0.6964149323802283
loose36,official_pass5,52,"[800,1100)","[3.25,3.5)",142.15595782924356,150.59815904012564,0.943942201785928,-8.442201210882075,-0.5884188109923479
loose36,official_pass5,53,"[800,1100)","[3.5,3.75)",207.45185401129478,218.7609410733584,0.9483039019370864,-11.309087062063611,-0.602307581572787
loose36,official_pass5,54,"[800,1100)","[3.75,4.0)",96.97117325892498,96.15988689292773,1.0084368481724673,0.8112863659972476,0.056384374516229706
loose36,official_pass5,55,"[800,1100)","[4.0,4.25)",66.936237567919,21.26322103818768,3.1479820224652166,45.67301652973131,3.8185182877453303
loose36,official_pass5,56,"[800,1100)","[4.25,4.5)",15.80062114574762,3.4135053710621146,4.62885492423621,12.387115774685505,1.5224507043446083
loose36,official_pass5,59,"[800,1100)","[5,6)",1.0784163697745108,0.4694437573601747,2.2972216647182075,0.6089726124143362,0.35627766727753807
loose36,official_pass5,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,76.53973782787769,0.5869284930579124,-31.616384845513743,-3.980869213744887
loose36,official_pass5,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,105.72121453189696,1.0432453017321353,4.571945821919698,0.3711919034590627
loose36,official_pass5,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,63.86368538841751,1.1769227495873549,11.298938817700602,1.0732342890255646
loose36,official_pass5,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,23.44335360370655,1.0232615676900265,0.5453291567338496,0.06816011841758884
