cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
53,"[800,1100)","[3.5,3.75)",9593,32787,32730,32730,30250,9720763.312171731,771.7455751122898,30175,3873.957978438181,0.9394538222811326,0.06054617771886739,0.08309097112775603,0.16596980173729312,0.15708381723868473,0.15709471464658,8.257045357210714,0.26223228674492316,0.6843350091427464,0.2603228533552706,0.4100767685512975,41.10384956506009,False,False
54,"[800,1100)","[3.75,4.0)",8931,22615,22352,22350,21756,6552717.878257752,1898.8057234003923,21454,2280.1230609646113,0.9540501156767416,0.045949884323258416,0.0,0.18793147945922548,0.17063121612648022,0.1718537662425545,6.121877615121737,0.2969317375455763,0.7769456255176317,0.25451466949832424,0.3961110239941508,1.3845353150429196,False,False
55,"[800,1100)","[4.0,4.25)",5879,9020,8912,8901,8827,2025551.7703781128,1581.0003966599822,8726,1703.5514488817696,0.9392550211193151,0.06074497888068486,0.0,0.3253826098095135,0.19774704086422754,0.19949221767910152,6.0349707261594805,0.5141045234990315,0.8465465217478706,0.2947188268918551,1.250949895561966,15.953677559202411,True,False
56,"[800,1100)","[4.25,4.5)",2450,2841,2820,2804,2777,474869.18254852295,346.3034325686149,2749,756.8842398682173,0.8642735991511483,0.13572640084885168,0.0,0.6241736586524682,0.3158322055488418,0.35373391933003634,6.9788745907818885,0.9861943806708998,0.6259237387984802,1.1327656101182275,10.882487607486068,27.356039494536223,False,False
57,"[800,1100)","[4.5,4.75)",1212,1287,1287,1279,1247,135384.8256444931,518.0958438246689,1233,510.8052600765076,0.9752257542091162,0.02477424579088383,0.0,0.7813071691053547,0.652135075964467,0.6896678153121446,3.23728543665546,1.2344653271864603,0.7004962196761307,1.187880579518099,1.9313028875624483,2.235868775757467,False,False
58,"[800,1100)","[4.75,5.0)",1373,1482,1482,1479,1451,87549.98401069641,508.5836817698348,1399,549.2183065152439,0.9105470875376349,0.08945291246236509,0.0,0.9307801516386698,0.8781073906781866,0.8807060563003981,4.1400449606254766,1.4706326395890983,0.6651483888136205,1.5074727864865942,2.825779814437412,4.240031445569408,False,False
59,"[800,1100)","[5,6)",5467,8235,8235,8083,7978,147658.02135562897,1700.5540137115497,6617,1526.6159002547095,0.8377115599528387,0.16228844004716125,0.0,1.1093565086940533,1.0690771121294762,1.146999024171925,1.7032280161837452,1.7527832837366044,0.5799309613082366,2.1212793053260306,3.731216361733481,4.881062069407632,True,False
60,"[800,1100)",>=6,71,71,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
61,"[1100,2000)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
62,"[1100,2000)","[2.5,3)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
