label,family,parameter,value,chi2,ndof,chi2_over_ndof,delta_chi2_vs_baseline,max_abs_pull,low_mid_chi2,target_chi2,total_excess,total_model,total_obs_over_model,pull_cell_15,pull_cell_16,pull_cell_29,pull_cell_55,pull_cell_65,pull_cell_69,model_cell_15,model_cell_16,model_cell_29,model_cell_55,model_cell_65,model_cell_69
"nhit_[300,500)_bkg_plus_0.15",background_nhit_row,"[300,500)",0.15,118.83587802441951,23,5.1667773054095445,1.5410194982238892,6.37786371637001,76.06265758724042,84.89561960498388,14352.782787798234,13105.698285273855,1.0951558990126957,6.37786371637001,2.4222404655637693,0.6663989927108083,3.8657203773237954,-3.8649565252721176,2.8329233226464643,756.1718420624338,236.04011867233726,190.0370891956716,20.69864031469767,75.61914989331811,4.244027959715771
"nhit_[300,500)_bkg_plus_0.20",background_nhit_row,"[300,500)",0.2,131.6732464884293,23,5.724923760366491,14.378387962233674,6.645833383319184,90.0461062184934,87.55871263470904,14102.744051555232,12814.476670406742,1.1005321882651333,6.645833383319184,2.516098679002167,-0.11331778497763208,3.8392411663052917,-3.811990613021949,2.788722400343922,732.8080914255968,229.1291920550405,185.72143767824954,21.015356211128918,75.19849033996903,4.6001917881723955
"nhit_[500,800)_bkg_plus_0.02",background_nhit_row,"[500,800)",0.02,118.369274202837,23,5.146490182732044,1.0744156766413795,5.562676238201939,65.30875420260358,84.40401666085981,15087.880132742886,13948.915605222148,1.0816525499010359,5.562676238201939,2.143055077770541,3.029867311228694,3.9742031272303824,-3.8892434861811553,2.960973378553537,827.2464423297965,256.59697413525197,201.93979824540742,19.40108611793623,75.81203889860792,3.2122214776296523
"nhit_[500,800)_bkg_plus_0.05",background_nhit_row,"[500,800)",0.05,120.19594657353528,23,5.22591072058849,2.9010880473396554,5.5994834847962505,66.5367194368094,84.70020231426068,15065.351837066357,13933.129821730841,1.0812611401617491,5.5994834847962505,2.1626152997089734,3.059787110235245,3.9792782792671217,-3.836649822077354,2.9584197542208805,824.0372905595658,255.15672449185485,200.6550036800786,19.340382597513457,75.39433577010519,3.232798166336136
"nhit_[500,800)_bkg_plus_0.10",background_nhit_row,"[500,800)",0.1,123.81518828464628,23,5.3832690558541865,6.520329758450657,5.660774862207227,68.66800327510434,85.21583643194582,15027.804677605474,13906.47017345493,1.0806340135321313,5.660774862207227,2.1950364265962867,3.1093899775991813,3.9879765061421537,-3.748745825575728,2.9543055979631676,818.6934153578627,252.76950636186828,198.52499290026165,19.236343745292253,74.69619512954904,3.2659493669736723
"nhit_[500,800)_bkg_plus_0.15",background_nhit_row,"[500,800)",0.15,128.1550681936969,23,5.571959486682474,10.86020966750128,5.721988224532626,70.90374104943103,85.75894979546328,14990.257518144595,13879.373421544753,1.0800384904174012,5.721988224532626,2.22723324750374,3.1586648169302496,3.9969735663311576,-3.660539812640263,2.950376209807785,813.3563421387352,250.39880423095997,196.40906806513343,19.128730569770713,73.99565585008033,3.297611736354428
"nhit_[500,800)_bkg_plus_0.20",background_nhit_row,"[500,800)",0.2,133.21806193198927,23,5.7920896492169245,15.923203405793643,5.783111405599543,73.24230523917485,86.32951816085676,14952.710358683713,13851.840528496756,1.0794746249007263,5.783111405599543,2.259205475774145,3.2076132079679955,4.006268639465215,-3.572040348894793,2.946640136136023,808.0271316469799,248.0446392061457,194.30716133865056,19.017552883321148,73.29278596057542,3.327716409130775
"nhit_[800,1100)_bkg_plus_0.02",background_nhit_row,"[800,1100)",0.02,117.0127068508392,23,5.0875089935147475,-0.28215167535643104,5.538608045961948,64.61575997875676,83.62686800365645,15098.949300980586,13955.65375218738,1.081923467656541,5.538608045961948,2.1318997834270794,3.016055049342975,3.9139189986616154,-3.8978910777243483,2.9659378597217625,829.3449008910831,257.41835585324736,202.53291449601403,19.36086489945023,75.88071876914283,3.1722184974412855
"nhit_[800,1100)_bkg_plus_0.05",background_nhit_row,"[800,1100)",0.05,116.63994352040537,23,5.071301892191538,-0.654915005790258,5.539530506878815,64.776841797581,82.7666186358363,15093.024757660609,13949.973422683912,1.0819393199070897,5.539530506878815,2.1348705336112426,3.025429028391767,3.8284057801086715,-3.85844101897701,2.9707018504024085,829.2644733297128,257.1996148846208,202.13038380605997,19.241769347283014,75.56740321604013,3.133831036927751
"nhit_[800,1100)_bkg_plus_0.10",background_nhit_row,"[800,1100)",0.1,116.15307157700641,23,5.050133546826366,-1.1417869491892105,5.5410855708082725,65.04674982879347,81.37170847833654,15083.150518793977,13940.321109749393,1.081980135181056,5.5410855708082725,2.139840611807143,3.0411147767093634,3.685907535637024,-3.7924658174964083,2.97860217352254,829.1288903501696,256.8336602767522,201.45681764382905,19.042992252358662,75.04342283681316,3.0701715207472855
