label,mode,fraction,cell_id,nhit_bin,predE_bin,excess,model,pull
right_0.20,right,0.2,52,"[800,1100)","[3.25,3.5)",142.15595782924356,186.15358000660672,-3.0666206456585505
right_0.20,right,0.2,53,"[800,1100)","[3.5,3.75)",207.45185401129478,213.27358990809665,-0.31005824336791105
right_0.20,right,0.2,54,"[800,1100)","[3.75,4.0)",96.97117325892498,83.22043931243996,0.9556755360465096
right_0.20,right,0.2,55,"[800,1100)","[4.0,4.25)",66.936237567919,16.141195882842343,4.24674808757136
right_0.20,right,0.2,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,84.51663624938226,-4.985253159047338
right_0.20,right,0.2,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,91.73537655428875,1.5066886968568964
right_0.20,right,0.2,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,45.90250456667689,2.779284338529531
right_0.20,right,0.2,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,13.462600793685889,1.3156439270995979
right_0.20,right,0.2,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,2.2097883535182428,3.0853781189909535
right_0.20,right,0.2,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,1.8136796955102128,0.8179165276944296
right_0.20,right,0.2,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,0.6137311177552289,0.8519643574076842
right_0.20,right,0.2,83,"[2000,3000)","[5,6)",8.135495447995465,0.1292634414644527,1.3758015930229939
right_0.30,right,0.3,1,"[125,200)","[2,2.5)",1117.3280891682298,1729.0695953157817,-3.0047072203794523
right_0.30,right,0.3,2,"[125,200)","[2.5,3)",3656.9754303123773,2312.5609516524983,4.847167951833201
right_0.30,right,0.3,3,"[125,200)","[3,3.25)",657.0089484061609,394.6157420664191,1.941418118705996
right_0.30,right,0.3,14,"[200,300)","[2.5,3)",2347.257471674584,2081.1158125768643,1.9476405384690467
right_0.30,right,0.3,15,"[200,300)","[3,3.25)",1312.2452930671052,726.2360331659946,6.721211360527152
right_0.30,right,0.3,16,"[200,300)","[3.25,3.5)",414.3934613762758,237.64934899576775,2.400385294537925
right_0.30,right,0.3,26,"[300,500)","[2.5,3)",825.8236015369974,1174.882985331599,-6.547474313484987
right_0.30,right,0.3,27,"[300,500)","[3,3.25)",1521.580954995197,1358.919241908748,2.395085179768569
right_0.30,right,0.3,28,"[300,500)","[3.25,3.5)",800.4970853563786,642.8819630713853,3.0842716775979975
right_0.30,right,0.3,29,"[300,500)","[3.5,3.75)",332.0461888091163,180.87244690913928,3.520475642390358
right_0.30,right,0.3,30,"[300,500)","[3.75,4.0)",105.27744444227983,54.66850076889962,1.2359379549444476
right_0.30,right,0.3,40,"[500,800)","[3.25,3.5)",758.121180063778,782.4672262077272,-0.6180157424970374
