mode,fraction,prior_sigma,chi2,ndof,chi2_over_ndof,penalty,profile_chi2,profile_chi2_over_ndof,phi0,alpha,beta,max_abs_pull
right,0.11,0.1,152.2974947809871,23,6.621630207869004,1.2099999999999997,153.50749478098712,6.674238903521179,2.49452582118065e-12,2.7728737361192826,0.16756862966580469,5.8912457851727895
right,0.12,0.1,156.42580487713022,23,6.801121951179574,1.44,157.86580487713022,6.8637306468317485,2.5063084952356473e-12,2.7737043866005373,0.1697121447528902,5.928182340794171
right,0.13,0.1,160.7232855850608,23,6.987968938480905,1.6900000000000002,162.4132855850608,7.06144719935047,2.5175037762230418e-12,2.7751621532970003,0.1721115229168554,5.964908209014433
right,0.14,0.1,165.19259235183105,23,7.182286623992654,1.9600000000000004,167.15259235183106,7.2675040152970025,2.5294790263103527e-12,2.7760826535460077,0.17440529434561294,6.00268783704454
right,0.15,0.1,169.8364377078278,23,7.3841929438186,2.2499999999999996,172.0864377078278,7.482019030775121,2.5414449001937135e-12,2.7773042727235127,0.17691657710003655,6.040445072203201
right,0.16,0.1,174.65733474171378,23,7.593797162683208,2.5599999999999996,177.21733474171378,7.705101510509295,2.5532077703145e-12,2.778384468376466,0.1793438054420661,6.079804455728829
right,0.17,0.1,179.65787743681096,23,7.811212062470042,2.8899999999999997,182.54787743681095,7.936864236383085,2.5649874564655095e-12,2.7794652050119786,0.18181806000351913,6.119955762045509
right,0.18,0.1,184.84061171363908,23,8.036548335375612,3.2399999999999993,188.0806117136391,8.177417900593003,2.576786886665265e-12,2.780545544118404,0.18434146404991789,6.160902992319164
right,0.19,0.1,190.20805148481608,23,8.269915281948526,3.61,193.8180514848161,8.426871803687657,2.588607088886401e-12,2.781624732241087,0.18691599645183024,6.202653433418633
right,0.2,0.1,195.7626748812293,23,8.511420647009968,4.0,199.7626748812293,8.68533369048823,2.600450263036061e-12,2.7827022947704387,0.18954433783717767,6.245213152531311
right,0.21,0.1,201.50676811269884,23,8.761163830986906,4.409999999999998,205.91676811269883,8.952902961421689,2.611535667190177e-12,2.7835170192765575,0.19188363114381113,6.290412570010252
right,0.22,0.1,207.44297846843088,23,9.019259933410039,4.839999999999999,212.28297846843088,9.229694716018734,2.623279666403773e-12,2.7845460140556537,0.1945596696512484,6.33488334321673
right,0.23,0.1,213.57353006666844,23,9.28580565507254,5.289999999999999,218.86353006666843,9.51580565507254,2.635058341758327e-12,2.7855746606823346,0.19729887574333577,6.38014522781037
right,0.24,0.1,219.90070576864446,23,9.56090025081063,5.76,225.66070576864445,9.811335033419324,2.6468484867977335e-12,2.786593243600461,0.20009233643689237,6.426262179312435
right,0.25,0.1,226.42672724967497,23,9.844640315203259,6.25,232.67672724967497,10.116379445638042,2.6586503099783185e-12,2.787600703979728,0.20294198768982596,6.473240171284099
right,0.26,0.1,233.1537492672449,23,10.137119533358474,6.760000000000001,239.9137492672449,10.431032576836735,2.6704641804721607e-12,2.7885959977121875,0.20584990974275078,6.521084586357218
right,0.27,0.1,240.08385385129876,23,10.438428428317337,7.290000000000001,247.37385385129875,10.755384950056467,2.6822906932236644e-12,2.7895780549711264,0.20881833404253977,6.569800307307691
right,0.28,0.1,247.21904428562436,23,10.748654099374972,7.840000000000002,255.05904428562437,11.089523664592363,2.69413057132013e-12,2.7905459266104966,0.21184967412202704,6.619391165467027
right,0.29,0.1,254.56123888458328,23,11.06787995150362,8.409999999999997,262.9712388845833,11.433532125416663,2.705984877393491e-12,2.7914985876684892,0.2149465256737037,6.669860632891171
right,0.3,0.1,262.1122645647406,23,11.396185415858287,8.999999999999998,271.1122645647406,11.787489763684373,2.7178549554217717e-12,2.792435040544043,0.2181116858021463,6.721211360527152
