scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,23,1,"[30,60)","[2,3)",65111
file,202201,23,2,"[60,100)","[2,3)",55190
file,202201,23,3,"[60,100)","[3,3.25)",2150
file,202201,23,4,"[100,200)","[2,3)",49370
file,202201,23,5,"[100,200)","[3,3.25)",3209
file,202201,23,6,"[200,300)","[2,3)",8142
file,202201,23,7,"[200,300)","[3,3.25)",1920
file,202201,23,8,"[300,500)","[3,3.25)",2312
file,202201,23,9,"[300,500)","[3.25,3.5)",761
file,202201,23,10,"[500,800)","[3.25,3.5)",1038
file,202201,23,11,"[500,800)","[3.5,3.75)",271
file,202201,23,12,"[500,800)","[3.75,4.0)",53
file,202201,23,13,"[800,1100)","[3.5,3.75)",201
file,202201,23,14,"[800,1100)","[3.75,4.0)",91
file,202201,23,15,"[800,1100)","[4.0,4.25)",13
file,202201,23,16,"[1100,2000)","[3.75,4.0)",94
file,202201,23,17,"[1100,2000)","[4.0,4.25)",67
file,202201,23,18,"[1100,2000)","[4.25,4.5)",27
file,202201,24,1,"[30,60)","[2,3)",15975
file,202201,24,2,"[60,100)","[2,3)",27852
file,202201,24,3,"[60,100)","[3,3.25)",1242
file,202201,24,4,"[100,200)","[2,3)",32162
file,202201,24,5,"[100,200)","[3,3.25)",3542
file,202201,24,6,"[200,300)","[2,3)",4970
file,202201,24,7,"[200,300)","[3,3.25)",2221
file,202201,24,8,"[300,500)","[3,3.25)",1822
file,202201,24,9,"[300,500)","[3.25,3.5)",1051
file,202201,24,10,"[500,800)","[3.25,3.5)",758
file,202201,24,11,"[500,800)","[3.5,3.75)",351
file,202201,24,12,"[500,800)","[3.75,4.0)",77
file,202201,24,13,"[800,1100)","[3.5,3.75)",198
file,202201,24,14,"[800,1100)","[3.75,4.0)",103
file,202201,24,15,"[800,1100)","[4.0,4.25)",22
file,202201,24,16,"[1100,2000)","[3.75,4.0)",75
file,202201,24,17,"[1100,2000)","[4.0,4.25)",64
file,202201,24,18,"[1100,2000)","[4.25,4.5)",24
file,202201,25,1,"[30,60)","[2,3)",5230
