cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
50,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[5,5.5)",13490,1,1,0.16038711671759265,1,0,1,baseline_fit,
51,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[5.5,6)",12351,1,1,0.146845165202297,1,0,1,baseline_fit,
52,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,diagnostic >=6 tail bin excluded from main fit,"[500,800)",>=6,158,0,0,0.0,0,1,1,high_energy_probe,
53,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
54,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[2.5,3)",4,0,0,0.00012110936175366356,1,0,1,excluded,MC_prefit_selector
55,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[3,3.25)",240,0,0,0.0072665617052198135,1,0,1,excluded,MC_prefit_selector
56,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.25,3.5)",4962,1,1,0.15023616325541964,1,0,1,baseline_fit,
57,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.5,3.75)",23789,1,1,0.7202676516894756,1,0,1,baseline_fit,
58,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.75,4.0)",33028,1,1,1.0,1,0,1,baseline_fit,
59,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[4.0,4.25)",16745,1,1,0.506994065641274,1,0,1,baseline_fit,
60,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[4.25,4.5)",4786,1,1,0.14490735133825844,1,0,1,baseline_fit,
61,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[4.5,4.75)",1869,1,0,0.0565883492793993,1,0,1,excluded,MC_prefit_selector
62,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[4.75,5.0)",1760,1,0,0.05328811917161196,1,0,1,excluded,MC_prefit_selector
63,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[5,5.5)",4810,1,1,0.14563400750878042,1,0,1,baseline_fit,
