cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,split_child_gate_exception,split_child_effective_min_mc_count,split_child_default_min_mc_count,split_child_original_prefit_physical_ridge_flag,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
56,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[800,1100)","[3.25,3.5)",15783,1,1,0.23614942715264028,1,0,1,drop4_fit,,0,,,,,,
57,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[800,1100)","[3.5,3.75)",32787,1,1,0.8690402778228554,1,0,1,drop4_fit,,0,,,,,,
58,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[800,1100)","[3.75,4.0)",22615,1,1,1.0,1,0,1,drop4_fit,,0,,,,,,
59,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[800,1100)","[4.0,4.25)",9020,1,1,0.4634383823958976,1,0,1,drop4_fit,,0,,,,,,
60,0,v6_64748_split56_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[800,1100)","[4.25,4.5)",2841,1,1,0.13449741975268573,1,0,1,excluded,MC_prefit_selector,0,,,,,,
61,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[4.5,4.75)",1287,1,0,0.05786894290999967,1,0,1,excluded,MC_prefit_selector,0,,,,,,
62,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[800,1100)","[4.75,5.0)",1482,1,0,0.06027068254844049,1,0,1,excluded,MC_prefit_selector,0,,,,,,
63,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[800,1100)","[5,5.5)",4644,1,1,0.1591314790172341,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
64,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[800,1100)","[5.5,6)",3591,1,0,0.09334328648859173,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
65,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[800,1100)",>=6,71,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
66,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
67,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
68,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[3,3.25)",16,0,0,0.00020010005002501252,1,0,1,excluded,MC_prefit_selector,0,,,,,,
69,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[3.25,3.5)",1565,0,0,0.010805402701350676,1,0,1,excluded,MC_prefit_selector,0,,,,,,
70,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[1100,2000)","[3.5,3.75)",10960,1,1,0.1424045356011339,1,0,1,drop4_fit,,0,,,,,,
71,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[1100,2000)","[3.75,4.0)",23726,1,1,0.5845589461397366,1,0,1,drop4_fit,,0,,,,,,
