cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
74,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[2.5,3)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
75,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3,3.25)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
76,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
77,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.5,3.75)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
78,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.75,4.0)",9,0,0,0.0011550308008213552,1,excluded,MC_prefit_selector,,,
79,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[4.0,4.25)",584,1,0,0.07494866529774127,1,excluded,MC_prefit_selector,,,
80,0,v6_64670_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[2000,3000)","[4.25,4.5)",2327,1,1,0.29863963039014374,1,excluded,MC_prefit_selector,,,
81,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[2000,3000)","[4.5,4.75)",5383,1,1,0.6908367556468172,1,drop4_fit,,,,
82,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[2000,3000)","[4.75,5.0)",6447,1,1,0.8273870636550308,1,drop4_fit,,,,
83,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[2000,3000)","[5,6)",7792,1,1,1.0,1,drop4_fit,,,,
84,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)",>=6,0,0,0,0.0,1,excluded,MC_prefit_selector,,,
